,id,child_alone,child_alone_prediction
0,24,0,0.0
1,26,0,0.0
2,32,0,0.0
3,34,0,0.0
4,37,0,0.0
5,49,0,0.0
6,62,0,0.0
7,63,0,0.0
8,73,0,0.0
9,86,0,0.0
10,94,0,0.0
11,97,0,0.0
12,101,0,0.0
13,111,0,0.0
14,112,0,0.0
15,115,0,0.0
16,117,0,0.0
17,119,0,0.0
18,121,0,0.0
19,122,0,0.0
20,123,0,0.0
21,133,0,0.0
22,136,0,0.0
23,137,0,0.0
24,139,0,0.0
25,141,0,0.0
26,144,0,0.0
27,147,0,0.0
28,151,0,0.0
29,153,0,0.0
30,157,0,0.0
31,159,0,0.0
32,161,0,0.0
33,162,0,0.0
34,166,0,0.0
35,172,0,0.0
36,175,0,0.0
37,176,0,0.0
38,177,0,0.0
39,181,0,0.0
40,182,0,0.0
41,183,0,0.0
42,191,0,0.0
43,197,0,0.0
44,209,0,0.0
45,219,0,0.0
46,222,0,0.0
47,229,0,0.0
48,230,0,0.0
49,240,0,0.0
50,241,0,0.0
51,245,0,0.0
52,249,0,0.0
53,250,0,0.0
54,259,0,0.0
55,260,0,0.0
56,261,0,0.0
57,263,0,0.0
58,265,0,0.0
59,267,0,0.0
60,272,0,0.0
61,275,0,0.0
62,279,0,0.0
63,280,0,0.0
64,292,0,0.0
65,295,0,0.0
66,303,0,0.0
67,304,0,0.0
68,313,0,0.0
69,319,0,0.0
70,320,0,0.0
71,326,0,0.0
72,329,0,0.0
73,331,0,0.0
74,335,0,0.0
75,336,0,0.0
76,347,0,0.0
77,352,0,0.0
78,353,0,0.0
79,354,0,0.0
80,355,0,0.0
81,356,0,0.0
82,363,0,0.0
83,373,0,0.0
84,380,0,0.0
85,381,0,0.0
86,392,0,0.0
87,396,0,0.0
88,401,0,0.0
89,402,0,0.0
90,407,0,0.0
91,410,0,0.0
92,412,0,0.0
93,414,0,0.0
94,416,0,0.0
95,417,0,0.0
96,420,0,0.0
97,424,0,0.0
98,432,0,0.0
99,436,0,0.0
100,437,0,0.0
101,447,0,0.0
102,455,0,0.0
103,456,0,0.0
104,463,0,0.0
105,470,0,0.0
106,474,0,0.0
107,479,0,0.0
108,483,0,0.0
109,484,0,0.0
110,485,0,0.0
111,486,0,0.0
112,487,0,0.0
113,494,0,0.0
114,496,0,0.0
115,504,0,0.0
116,509,0,0.0
117,512,0,0.0
118,516,0,0.0
119,519,0,0.0
120,522,0,0.0
121,524,0,0.0
122,525,0,0.0
123,531,0,0.0
124,539,0,0.0
125,540,0,0.0
126,541,0,0.0
127,546,0,0.0
128,550,0,0.0
129,563,0,0.0
130,565,0,0.0
131,577,0,0.0
132,580,0,0.0
133,583,0,0.0
134,585,0,0.0
135,589,0,0.0
136,593,0,0.0
137,595,0,0.0
138,596,0,0.0
139,599,0,0.0
140,603,0,0.0
141,606,0,0.0
142,611,0,0.0
143,613,0,0.0
144,622,0,0.0
145,623,0,0.0
146,631,0,0.0
147,633,0,0.0
148,637,0,0.0
149,640,0,0.0
150,644,0,0.0
151,651,0,0.0
152,653,0,0.0
153,659,0,0.0
154,660,0,0.0
155,661,0,0.0
156,664,0,0.0
157,667,0,0.0
158,675,0,0.0
159,679,0,0.0
160,685,0,0.0
161,691,0,0.0
162,696,0,0.0
163,697,0,0.0
164,700,0,0.0
165,711,0,0.0
166,714,0,0.0
167,721,0,0.0
168,726,0,0.0
169,727,0,0.0
170,735,0,0.0
171,736,0,0.0
172,737,0,0.0
173,742,0,0.0
174,750,0,0.0
175,756,0,0.0
176,759,0,0.0
177,762,0,0.0
178,765,0,0.0
179,771,0,0.0
180,772,0,0.0
181,774,0,0.0
182,777,0,0.0
183,779,0,0.0
184,781,0,0.0
185,783,0,0.0
186,786,0,0.0
187,791,0,0.0
188,799,0,0.0
189,802,0,0.0
190,804,0,0.0
191,804,0,0.0
192,805,0,0.0
193,810,0,0.0
194,812,0,0.0
195,816,0,0.0
196,822,0,0.0
197,835,0,0.0
198,843,0,0.0
199,844,0,0.0
200,849,0,0.0
201,851,0,0.0
202,857,0,0.0
203,859,0,0.0
204,862,0,0.0
205,871,0,0.0
206,873,0,0.0
207,875,0,0.0
208,881,0,0.0
209,883,0,0.0
210,887,0,0.0
211,891,0,0.0
212,895,0,0.0
213,896,0,0.0
214,897,0,0.0
215,901,0,0.0
216,904,0,0.0
217,905,0,0.0
218,907,0,0.0
219,911,0,0.0
220,912,0,0.0
221,913,0,0.0
222,916,0,0.0
223,924,0,0.0
224,930,0,0.0
225,933,0,0.0
226,940,0,0.0
227,943,0,0.0
228,946,0,0.0
229,953,0,0.0
230,955,0,0.0
231,957,0,0.0
232,959,0,0.0
233,965,0,0.0
234,970,0,0.0
235,971,0,0.0
236,975,0,0.0
237,983,0,0.0
238,996,0,0.0
239,1010,0,0.0
240,1011,0,0.0
241,1017,0,0.0
242,1019,0,0.0
243,1031,0,0.0
244,1039,0,0.0
245,1041,0,0.0
246,1052,0,0.0
247,1057,0,0.0
248,1062,0,0.0
249,1063,0,0.0
250,1075,0,0.0
251,1081,0,0.0
252,1089,0,0.0
253,1092,0,0.0
254,1109,0,0.0
255,1110,0,0.0
256,1113,0,0.0
257,1117,0,0.0
258,1120,0,0.0
259,1126,0,0.0
260,1130,0,0.0
261,1133,0,0.0
262,1143,0,0.0
263,1145,0,0.0
264,1146,0,0.0
265,1147,0,0.0
266,1150,0,0.0
267,1153,0,0.0
268,1163,0,0.0
269,1165,0,0.0
270,1169,0,0.0
271,1172,0,0.0
272,1173,0,0.0
273,1179,0,0.0
274,1182,0,0.0
275,1183,0,0.0
276,1185,0,0.0
277,1189,0,0.0
278,1200,0,0.0
279,1203,0,0.0
280,1212,0,0.0
281,1221,0,0.0
282,1222,0,0.0
283,1231,0,0.0
284,1232,0,0.0
285,1234,0,0.0
286,1235,0,0.0
287,1241,0,0.0
288,1244,0,0.0
289,1246,0,0.0
290,1256,0,0.0
291,1257,0,0.0
292,1259,0,0.0
293,1266,0,0.0
294,1267,0,0.0
295,1276,0,0.0
296,1277,0,0.0
297,1280,0,0.0
298,1284,0,0.0
299,1287,0,0.0
300,1293,0,0.0
301,1299,0,0.0
302,1301,0,0.0
303,1302,0,0.0
304,1305,0,0.0
305,1313,0,0.0
306,1315,0,0.0
307,1320,0,0.0
308,1322,0,0.0
309,1323,0,0.0
310,1324,0,0.0
311,1326,0,0.0
312,1327,0,0.0
313,1331,0,0.0
314,1334,0,0.0
315,1336,0,0.0
316,1340,0,0.0
317,1342,0,0.0
318,1344,0,0.0
319,1345,0,0.0
320,1347,0,0.0
321,1349,0,0.0
322,1355,0,0.0
323,1364,0,0.0
324,1366,0,0.0
325,1367,0,0.0
326,1369,0,0.0
327,1371,0,0.0
328,1375,0,0.0
329,1377,0,0.0
330,1382,0,0.0
331,1400,0,0.0
332,1402,0,0.0
333,1405,0,0.0
334,1407,0,0.0
