,id,death,death_prediction
0,7,0,0.0
1,12,0,0.0
2,15,0,0.0
3,16,0,0.0
4,20,0,0.0
5,21,0,0.0
6,34,0,0.0
7,42,0,0.0
8,43,0,0.0
9,44,0,0.0
10,49,0,0.0
11,53,0,0.0
12,56,1,0.0
13,61,0,0.0
14,70,1,0.0
15,74,0,0.0
16,81,0,0.0
17,90,0,0.0
18,92,0,0.0
19,94,0,0.0
20,96,0,0.0
21,99,0,0.0
22,100,0,0.0
23,101,0,0.0
24,107,0,0.0
25,112,0,0.0
26,113,0,0.0
27,117,0,0.0
28,119,0,0.0
29,129,0,1.0
30,130,0,0.0
31,131,0,0.0
32,134,1,0.0
33,135,0,0.0
34,139,0,0.0
35,144,0,0.0
36,157,0,1.0
37,161,0,0.0
38,163,0,0.0
39,164,0,0.0
40,165,0,0.0
41,170,0,0.0
42,174,0,0.0
43,175,0,0.0
44,177,0,0.0
45,182,0,0.0
46,201,0,0.0
47,209,0,0.0
48,210,0,0.0
49,216,0,0.0
50,217,0,0.0
51,229,0,0.0
52,233,0,0.0
53,236,0,0.0
54,244,0,0.0
55,245,0,0.0
56,259,0,0.0
57,263,0,0.0
58,271,0,0.0
59,272,0,0.0
60,274,0,0.0
61,276,0,0.0
62,277,0,0.0
63,279,0,0.0
64,292,0,0.0
65,293,0,0.0
66,294,0,0.0
67,296,0,0.0
68,299,0,0.0
69,302,0,0.0
70,304,0,0.0
71,306,0,0.0
72,321,0,0.0
73,323,0,0.0
74,325,0,0.0
75,326,0,0.0
76,329,0,0.0
77,335,0,0.0
78,337,0,0.0
79,340,0,0.0
80,353,0,0.0
81,355,0,0.0
82,360,0,0.0
83,362,0,0.0
84,372,0,0.0
85,377,0,0.0
86,399,0,0.0
87,403,0,0.0
88,407,0,0.0
89,409,0,0.0
90,411,0,0.0
91,412,0,0.0
92,413,1,0.0
93,424,0,1.0
94,437,0,0.0
95,440,0,0.0
96,443,0,0.0
97,460,0,0.0
98,462,0,0.0
99,469,0,0.0
100,474,0,0.0
101,480,0,0.0
102,482,0,0.0
103,484,0,0.0
104,492,0,0.0
