,id,security,security_prediction
0,2,0,0.0
1,12,0,0.0
2,17,0,0.0
3,21,0,0.0
4,36,0,0.0
5,43,0,0.0
6,49,0,0.0
7,51,0,0.0
8,57,0,0.0
9,62,0,0.0
10,82,0,0.0
11,85,0,0.0
12,101,0,0.0
13,110,0,0.0
14,111,0,0.0
15,121,0,0.0
16,122,0,0.0
17,127,0,0.0
18,129,0,0.0
19,144,1,0.0
20,146,0,0.0
21,147,0,0.0
22,152,0,0.0
23,153,0,0.0
24,165,0,0.0
25,177,0,0.0
26,181,0,0.0
27,182,0,0.0
28,202,0,0.0
29,206,0,0.0
30,211,0,0.0
31,212,0,0.0
32,216,0,0.0
33,217,0,0.0
34,219,0,0.0
35,220,0,0.0
36,224,0,0.0
37,227,0,0.0
38,235,0,0.0
39,236,0,0.0
40,245,0,0.0
41,247,0,0.0
42,250,0,0.0
43,254,0,0.0
44,255,0,0.0
45,256,0,0.0
46,261,0,0.0
47,265,0,0.0
48,267,0,0.0
49,281,0,0.0
50,282,0,0.0
51,291,0,0.0
52,301,0,0.0
53,306,0,0.0
54,309,0,0.0
55,310,0,0.0
56,323,0,0.0
57,325,0,0.0
58,326,0,0.0
59,332,0,0.0
60,333,0,0.0
61,336,0,0.0
62,342,0,0.0
63,346,0,0.0
64,347,0,0.0
65,351,0,0.0
66,352,0,0.0
67,356,1,0.0
68,360,0,0.0
69,367,0,0.0
70,382,0,0.0
71,383,0,0.0
72,384,0,0.0
73,392,0,0.0
74,395,0,0.0
75,396,0,0.0
76,401,0,0.0
77,406,0,0.0
78,410,0,0.0
79,415,0,0.0
80,420,0,0.0
81,424,0,0.0
82,426,0,0.0
83,431,0,0.0
84,446,0,0.0
85,447,1,0.0
86,461,0,0.0
87,463,0,0.0
88,465,0,0.0
89,480,0,0.0
90,481,0,0.0
91,482,0,0.0
92,487,0,0.0
93,492,0,0.0
94,497,0,0.0
95,500,0,0.0
96,504,0,0.0
97,515,0,0.0
98,519,0,0.0
99,523,0,0.0
100,525,0,0.0
101,532,0,0.0
102,539,0,0.0
103,540,0,0.0
104,544,0,0.0
105,550,0,0.0
106,556,0,0.0
107,557,0,0.0
108,559,0,0.0
109,566,0,0.0
110,569,0,0.0
111,571,0,0.0
112,577,0,0.0
113,580,0,0.0
114,587,0,0.0
115,589,0,0.0
116,590,0,0.0
117,600,0,0.0
118,601,0,0.0
119,603,0,0.0
120,605,0,0.0
121,613,0,0.0
122,620,0,0.0
123,624,0,0.0
124,633,0,1.0
125,634,0,0.0
126,635,0,0.0
127,641,0,0.0
128,645,0,0.0
129,651,0,0.0
130,652,0,0.0
131,654,0,0.0
132,662,0,0.0
133,670,0,0.0
134,674,0,0.0
135,676,0,0.0
136,682,0,0.0
137,687,0,0.0
138,691,0,0.0
139,695,0,0.0
140,696,0,0.0
141,700,0,0.0
142,704,0,0.0
143,709,0,0.0
144,726,0,0.0
145,735,0,0.0
146,737,0,0.0
147,741,0,0.0
148,743,0,0.0
149,750,0,0.0
150,756,0,0.0
151,761,0,0.0
152,762,0,0.0
153,767,1,0.0
154,773,0,0.0
155,777,0,0.0
156,782,0,0.0
157,787,0,0.0
158,790,0,0.0
159,793,0,0.0
160,794,0,0.0
161,804,0,0.0
162,809,0,0.0
163,811,0,0.0
164,822,0,0.0
165,826,0,0.0
166,830,0,0.0
167,831,0,0.0
168,834,0,0.0
169,845,0,0.0
170,851,0,0.0
171,859,0,0.0
172,860,0,0.0
173,862,0,0.0
174,872,0,0.0
175,873,0,0.0
176,875,0,0.0
177,891,0,0.0
178,895,0,0.0
179,897,0,0.0
180,900,0,0.0
181,909,0,0.0
182,911,0,0.0
183,914,0,0.0
184,916,0,0.0
185,925,0,0.0
186,930,0,0.0
187,933,0,0.0
188,937,0,0.0
189,947,0,0.0
190,949,0,0.0
191,951,0,0.0
192,954,0,0.0
193,957,0,0.0
194,959,0,0.0
195,960,0,0.0
196,962,0,0.0
197,970,0,0.0
198,973,0,0.0
199,976,0,0.0
200,980,0,0.0
201,981,0,0.0
202,983,0,0.0
203,984,0,0.0
204,986,0,0.0
205,993,0,0.0
206,994,0,0.0
207,1001,0,0.0
208,1002,0,0.0
209,1005,0,0.0
210,1006,0,0.0
211,1007,0,0.0
212,1010,0,0.0
213,1011,0,0.0
214,1013,0,0.0
215,1019,0,0.0
216,1024,0,0.0
217,1030,0,0.0
218,1036,0,0.0
219,1037,0,0.0
220,1043,0,0.0
221,1047,0,0.0
222,1049,0,0.0
223,1057,0,0.0
224,1061,0,0.0
225,1063,0,0.0
226,1065,0,0.0
227,1067,0,0.0
228,1070,0,0.0
229,1075,0,0.0
230,1076,0,0.0
231,1079,0,0.0
