,id,shops,shops_prediction
0,2,0,0.0
1,14,0,0.0
2,15,0,0.0
3,20,0,0.0
4,25,0,0.0
5,26,0,0.0
6,27,0,0.0
7,30,0,0.0
8,32,0,0.0
9,39,0,0.0
10,61,0,0.0
11,62,0,0.0
12,67,0,0.0
13,82,0,0.0
14,83,0,0.0
15,85,0,0.0
16,96,0,0.0
17,100,0,0.0
18,102,0,0.0
19,107,0,0.0
20,112,0,0.0
21,115,0,0.0
22,120,0,0.0
23,121,0,0.0
24,122,0,0.0
25,130,0,0.0
26,131,0,0.0
27,132,0,0.0
28,135,0,0.0
29,137,0,0.0
30,139,0,0.0
31,140,0,0.0
32,141,0,0.0
33,143,0,0.0
34,144,0,0.0
35,151,0,0.0
36,162,0,0.0
37,165,0,0.0
38,167,0,0.0
39,176,0,0.0
40,177,0,0.0
41,181,0,0.0
42,187,0,0.0
43,194,0,0.0
44,199,0,0.0
45,202,0,0.0
46,204,0,0.0
47,207,0,0.0
48,210,0,0.0
49,224,0,0.0
50,225,0,0.0
51,233,0,0.0
52,234,0,0.0
53,236,0,0.0
54,242,0,0.0
55,243,0,0.0
56,251,0,0.0
57,254,0,0.0
58,261,0,0.0
59,263,0,0.0
60,265,0,0.0
61,276,0,0.0
62,280,0,0.0
63,281,0,0.0
64,283,0,0.0
65,284,0,0.0
66,291,0,0.0
67,299,0,0.0
68,304,0,0.0
69,306,0,0.0
70,310,0,0.0
71,312,0,0.0
72,317,0,0.0
73,320,0,0.0
74,332,0,0.0
75,333,1,0.0
76,335,0,0.0
77,337,0,0.0
78,340,0,0.0
79,355,0,0.0
80,362,0,0.0
81,375,0,0.0
82,376,0,0.0
83,386,0,0.0
84,389,0,0.0
85,397,0,0.0
86,400,0,0.0
87,404,0,0.0
88,405,0,0.0
89,410,0,0.0
90,412,0,0.0
91,414,0,0.0
92,420,0,0.0
93,449,0,0.0
94,453,0,0.0
95,460,0,0.0
96,462,0,0.0
97,466,0,0.0
98,467,0,0.0
99,469,0,0.0
100,471,0,0.0
101,479,0,0.0
102,480,0,0.0
103,482,0,0.0
104,491,0,0.0
105,494,0,0.0
106,500,0,0.0
107,504,0,0.0
108,509,0,0.0
109,512,0,0.0
110,515,0,0.0
111,520,0,0.0
112,522,0,0.0
113,523,0,0.0
114,524,0,0.0
115,525,0,0.0
116,529,0,0.0
117,531,0,0.0
118,534,0,0.0
119,536,0,0.0
120,540,0,0.0
121,542,0,0.0
122,547,0,0.0
123,554,0,0.0
124,556,0,0.0
125,564,0,0.0
126,565,0,0.0
127,572,0,0.0
128,574,0,0.0
129,580,0,0.0
130,583,0,0.0
131,587,0,0.0
132,596,0,0.0
133,599,0,0.0
134,600,0,0.0
135,601,0,0.0
136,605,0,0.0
137,613,0,0.0
138,614,0,0.0
139,615,0,0.0
140,617,0,0.0
141,621,0,0.0
142,623,0,0.0
143,627,0,0.0
144,633,0,0.0
145,640,0,0.0
146,645,0,0.0
147,647,0,0.0
148,652,0,0.0
149,653,0,0.0
150,655,0,0.0
151,661,0,0.0
152,671,0,0.0
153,676,0,0.0
154,686,0,0.0
155,689,0,0.0
156,694,0,0.0
157,699,0,0.0
158,711,0,0.0
159,712,0,0.0
160,714,0,0.0
161,720,0,0.0
162,721,0,0.0
163,726,0,0.0
164,727,0,0.0
165,731,0,0.0
166,736,0,0.0
167,742,0,0.0
168,743,0,0.0
169,745,0,0.0
170,749,0,0.0
171,750,0,0.0
172,761,0,0.0
173,763,0,0.0
174,767,0,0.0
175,776,0,0.0
176,779,0,0.0
177,780,0,0.0
178,784,0,0.0
179,786,0,0.0
180,789,0,0.0
181,793,0,0.0
182,800,0,0.0
183,801,0,0.0
184,809,0,0.0
185,815,0,0.0
186,819,0,0.0
187,821,0,0.0
188,823,0,0.0
189,833,0,0.0
190,839,0,0.0
191,844,0,0.0
192,845,0,0.0
193,856,0,0.0
194,860,0,0.0
195,861,0,0.0
196,862,0,0.0
197,869,0,0.0
198,873,0,0.0
199,879,0,0.0
200,887,0,0.0
201,890,0,0.0
202,894,0,0.0
203,896,0,0.0
204,897,0,0.0
205,900,0,0.0
206,902,0,0.0
207,911,0,0.0
208,913,0,0.0
209,914,0,0.0
210,919,0,0.0
211,927,0,0.0
212,935,0,0.0
213,936,0,0.0
214,937,0,0.0
215,942,0,0.0
216,946,0,0.0
217,949,0,0.0
218,951,0,0.0
219,952,0,0.0
220,954,0,0.0
221,955,0,0.0
222,964,0,0.0
223,971,0,0.0
224,972,0,0.0
225,973,0,0.0
226,974,0,0.0
227,981,0,0.0
228,983,0,0.0
229,984,0,0.0
230,985,0,0.0
231,987,0,0.0
232,989,0,0.0
233,993,0,0.0
234,995,0,0.0
235,997,0,0.0
236,1000,0,0.0
237,1007,0,0.0
238,1013,0,0.0
239,1017,0,0.0
240,1023,0,0.0
241,1026,0,0.0
242,1037,0,0.0
243,1041,0,0.0
244,1044,0,0.0
245,1046,0,0.0
246,1053,0,0.0
247,1055,0,0.0
248,1057,0,0.0
249,1062,0,0.0
250,1063,0,0.0
251,1065,0,0.0
252,1066,0,0.0
253,1072,1,0.0
254,1074,0,0.0
255,1075,0,0.0
256,1077,0,0.0
257,1081,0,0.0
258,1082,0,0.0
259,1091,0,0.0
260,1095,0,0.0
261,1101,0,0.0
262,1102,0,0.0
263,1104,0,0.0
264,1106,0,0.0
265,1111,0,0.0
266,1113,0,0.0
267,1121,0,0.0
268,1130,0,0.0
269,1133,0,0.0
270,1135,0,0.0
271,1140,0,0.0
272,1141,0,0.0
273,1143,0,0.0
274,1146,0,0.0
275,1147,0,0.0
276,1156,0,0.0
277,1169,0,0.0
278,1172,0,0.0
279,1177,0,0.0
280,1181,0,0.0
281,1182,0,0.0
282,1190,0,0.0
283,1202,0,0.0
284,1204,0,0.0
285,1205,0,0.0
286,1210,0,0.0
287,1211,0,0.0
288,1216,0,0.0
289,1217,0,0.0
290,1223,0,0.0
291,1225,0,0.0
292,1229,0,0.0
293,1230,0,0.0
294,1232,0,0.0
295,1236,0,0.0
296,1244,0,0.0
297,1247,0,0.0
298,1251,0,0.0
299,1253,0,0.0
300,1257,0,0.0
301,1259,0,0.0
302,1260,0,0.0
303,1264,0,0.0
304,1275,0,0.0
305,1279,0,0.0
306,1284,0,0.0
307,1292,0,0.0
308,1293,0,0.0
309,1295,0,0.0
310,1301,0,0.0
311,1307,0,0.0
312,1313,0,0.0
313,1320,0,0.0
314,1327,0,0.0
315,1331,0,0.0
316,1332,0,0.0
317,1336,0,0.0
318,1337,0,0.0
319,1340,0,0.0
320,1341,0,0.0
321,1342,0,0.0
322,1357,0,0.0
323,1367,0,0.0
324,1374,0,0.0
325,1379,0,0.0
326,1381,0,0.0
327,1384,0,0.0
328,1386,0,0.0
329,1394,0,0.0
330,1399,0,0.0
331,1406,0,0.0
332,1413,0,0.0
333,1419,0,0.0
334,1424,0,0.0
335,1434,0,0.0
336,1437,0,0.0
337,1439,0,0.0
338,1451,0,0.0
339,1453,0,0.0
340,1454,0,0.0
341,1463,0,0.0
342,1464,0,0.0
343,1465,0,0.0
344,1469,0,0.0
345,1470,0,0.0
346,1477,0,0.0
347,1479,0,0.0
