,id,offer,offer_prediction
0,9,0,0.0
1,17,0,0.0
2,26,0,0.0
3,27,0,0.0
4,30,0,0.0
5,35,0,0.0
6,37,0,0.0
7,41,0,0.0
8,43,0,0.0
9,49,0,0.0
10,64,0,0.0
11,79,0,0.0
12,84,0,0.0
13,97,0,0.0
14,100,0,0.0
15,101,0,0.0
16,107,0,0.0
17,110,0,0.0
18,133,0,0.0
19,136,0,0.0
20,150,0,0.0
21,151,0,0.0
22,152,0,0.0
23,156,0,0.0
24,157,0,0.0
25,163,0,0.0
26,167,0,0.0
27,170,0,0.0
28,171,0,0.0
29,181,0,0.0
30,182,0,0.0
31,195,0,0.0
32,197,0,0.0
33,199,0,0.0
34,201,0,0.0
35,205,0,0.0
36,209,0,0.0
37,213,0,0.0
38,219,0,0.0
39,221,0,0.0
40,222,0,0.0
41,223,0,0.0
42,229,0,0.0
43,230,0,0.0
44,239,0,0.0
45,243,0,0.0
46,244,0,0.0
47,249,0,0.0
48,262,0,0.0
49,263,0,0.0
50,271,0,0.0
51,276,0,0.0
52,281,0,0.0
53,284,0,0.0
54,290,0,0.0
55,291,0,0.0
56,304,0,0.0
57,310,0,0.0
58,311,0,0.0
59,312,0,0.0
60,313,0,0.0
61,315,0,0.0
62,323,0,0.0
63,324,0,0.0
64,331,0,0.0
65,333,0,0.0
66,336,0,0.0
67,341,0,0.0
68,345,0,0.0
69,347,0,0.0
70,351,0,0.0
71,352,0,0.0
72,356,0,0.0
73,360,0,0.0
74,367,0,0.0
75,369,0,0.0
76,372,0,0.0
77,373,0,0.0
78,377,0,0.0
79,381,0,0.0
80,384,0,0.0
81,391,0,0.0
82,393,0,0.0
83,397,0,0.0
84,407,0,0.0
85,409,0,0.0
86,412,0,0.0
87,414,0,0.0
88,417,0,0.0
89,419,0,0.0
90,420,0,0.0
91,424,0,0.0
92,425,0,0.0
93,426,0,0.0
94,429,0,0.0
95,433,0,0.0
96,436,0,0.0
97,437,0,0.0
98,443,0,0.0
99,444,0,0.0
100,447,0,0.0
101,449,0,0.0
102,453,0,0.0
103,456,0,0.0
104,461,0,0.0
105,462,0,0.0
106,466,0,0.0
107,470,0,0.0
108,471,0,0.0
109,479,0,0.0
110,480,0,0.0
111,481,0,0.0
112,482,0,0.0
113,496,0,0.0
114,497,0,0.0
115,507,0,0.0
116,509,0,0.0
117,512,0,0.0
118,517,0,0.0
119,522,0,0.0
120,527,0,0.0
121,533,0,0.0
122,553,0,0.0
123,557,0,0.0
124,559,0,0.0
125,564,0,0.0
126,566,0,0.0
127,571,0,0.0
128,574,0,0.0
129,575,0,0.0
130,577,0,0.0
131,583,0,0.0
132,590,0,0.0
133,591,0,0.0
134,593,0,0.0
135,595,0,0.0
136,597,0,0.0
137,609,0,0.0
138,613,0,0.0
139,614,0,0.0
140,617,0,0.0
141,619,0,0.0
142,627,0,0.0
143,640,0,0.0
144,641,0,0.0
145,644,0,0.0
146,664,0,0.0
147,670,0,0.0
148,680,0,0.0
149,681,0,0.0
150,697,0,0.0
151,700,0,0.0
152,705,0,0.0
153,709,0,0.0
154,720,0,0.0
155,736,0,0.0
156,737,0,0.0
157,742,0,0.0
158,743,0,0.0
159,750,0,0.0
160,769,0,0.0
161,772,0,0.0
162,774,0,0.0
163,785,0,0.0
164,787,0,0.0
165,790,0,0.0
166,791,0,0.0
167,795,0,0.0
168,796,0,0.0
169,797,0,0.0
170,805,0,0.0
171,806,0,0.0
172,816,0,0.0
173,830,0,0.0
174,831,0,0.0
175,834,0,0.0
176,835,0,0.0
177,839,0,0.0
178,841,0,0.0
179,843,0,0.0
180,845,0,0.0
181,859,0,0.0
182,860,0,0.0
183,861,0,0.0
184,862,0,0.0
185,864,0,0.0
186,865,0,0.0
187,866,0,0.0
188,867,0,0.0
189,871,0,0.0
190,873,0,0.0
191,874,0,0.0
192,876,0,0.0
193,880,0,0.0
194,881,0,0.0
195,884,0,0.0
196,892,0,0.0
197,897,0,0.0
198,902,0,0.0
199,913,0,0.0
200,920,0,0.0
201,923,0,0.0
202,924,0,0.0
203,927,0,0.0
204,935,0,0.0
205,937,0,0.0
206,940,0,0.0
207,942,0,0.0
208,947,0,0.0
209,949,0,0.0
210,951,0,0.0
211,952,0,0.0
212,957,0,0.0
213,962,0,0.0
214,975,0,0.0
215,979,0,0.0
216,986,0,0.0
217,989,0,0.0
218,994,0,0.0
219,1000,0,0.0
