,id,buildings,buildings_prediction
0,7,0,0.0
1,15,0,0.0
2,22,0,0.0
3,24,0,1.0
4,27,0,0.0
5,32,0,0.0
6,35,0,0.0
7,37,0,0.0
8,39,0,0.0
9,49,0,0.0
10,53,0,0.0
11,61,0,0.0
12,62,0,0.0
13,66,0,0.0
14,67,0,0.0
15,71,0,0.0
16,73,1,0.0
17,74,0,0.0
18,79,0,0.0
19,80,0,0.0
20,82,0,0.0
21,83,0,0.0
22,91,0,0.0
23,92,0,0.0
24,99,0,0.0
25,100,0,0.0
26,101,0,0.0
27,102,0,0.0
28,105,0,0.0
29,107,0,0.0
30,111,0,0.0
31,129,0,0.0
32,130,0,0.0
33,131,0,0.0
34,132,0,0.0
35,134,0,0.0
36,147,0,0.0
37,149,0,0.0
38,156,1,0.0
39,162,0,0.0
40,166,0,0.0
41,167,0,0.0
42,170,1,0.0
43,172,0,0.0
44,177,0,0.0
45,200,0,0.0
46,202,0,0.0
47,209,0,0.0
48,212,1,0.0
49,214,0,0.0
50,219,0,0.0
51,222,0,0.0
52,226,0,0.0
53,237,0,0.0
54,239,1,0.0
55,245,0,0.0
56,246,1,0.0
57,250,0,0.0
58,251,0,0.0
59,253,0,0.0
60,256,0,0.0
61,266,0,0.0
62,267,1,0.0
63,269,0,0.0
64,271,0,0.0
65,282,0,0.0
66,284,0,0.0
67,289,0,0.0
68,302,0,0.0
69,310,0,0.0
70,312,0,0.0
71,313,0,0.0
72,323,0,0.0
73,325,0,0.0
74,331,0,0.0
75,333,0,0.0
76,341,0,0.0
77,342,0,0.0
78,360,0,0.0
79,362,0,1.0
80,367,0,0.0
81,372,0,0.0
82,373,0,0.0
83,375,0,0.0
84,377,0,0.0
85,384,0,0.0
86,389,0,0.0
87,391,0,0.0
88,395,0,0.0
89,396,0,0.0
90,399,0,0.0
91,412,0,0.0
92,416,0,0.0
93,420,0,0.0
94,436,0,0.0
95,440,0,0.0
96,443,1,0.0
97,444,0,0.0
98,453,0,0.0
99,455,0,0.0
100,456,0,0.0
101,463,0,0.0
102,465,0,0.0
103,466,0,0.0
104,467,0,0.0
105,471,0,0.0
106,479,0,0.0
107,480,0,0.0
108,484,0,0.0
109,486,0,0.0
110,491,0,0.0
111,494,0,0.0
112,500,0,0.0
113,505,1,0.0
114,510,0,0.0
115,512,0,0.0
116,515,0,0.0
117,522,0,0.0
118,524,0,0.0
119,529,0,0.0
120,530,0,0.0
121,550,0,0.0
122,553,0,0.0
123,554,1,0.0
124,559,0,0.0
125,573,0,0.0
126,580,0,0.0
127,587,0,0.0
128,593,0,0.0
129,596,0,0.0
130,599,0,0.0
131,601,0,0.0
132,605,0,0.0
133,610,0,0.0
134,611,0,0.0
135,614,0,0.0
136,615,0,0.0
137,620,0,0.0
138,621,0,0.0
139,626,0,0.0
140,629,0,0.0
141,630,0,0.0
142,637,1,0.0
143,647,1,0.0
144,649,0,0.0
145,659,1,0.0
146,661,0,0.0
147,663,0,0.0
148,664,0,0.0
149,666,0,0.0
150,667,0,0.0
151,671,0,0.0
152,675,0,0.0
153,676,0,0.0
154,686,0,0.0
