,id,aid_centers,aid_centers_prediction
0,2,0,0.0
1,14,0,0.0
2,26,0,0.0
3,30,0,0.0
4,32,0,0.0
5,35,0,0.0
6,37,0,0.0
7,39,0,0.0
8,44,0,0.0
9,49,0,0.0
10,50,0,0.0
11,51,0,0.0
12,52,0,0.0
13,63,0,0.0
14,67,0,0.0
15,71,0,0.0
16,79,0,0.0
17,86,0,0.0
18,97,0,0.0
19,101,0,0.0
20,111,0,0.0
21,114,0,0.0
22,120,0,0.0
23,123,0,0.0
24,124,0,0.0
25,126,0,0.0
26,129,0,0.0
27,136,0,0.0
28,137,0,0.0
29,139,0,0.0
30,140,0,0.0
31,143,0,0.0
32,147,0,0.0
33,150,0,0.0
34,153,0,0.0
35,155,0,0.0
36,156,0,0.0
37,157,0,0.0
38,162,0,0.0
39,164,0,0.0
40,167,0,0.0
41,173,0,0.0
42,177,0,0.0
43,194,0,0.0
44,200,0,0.0
45,201,0,0.0
46,202,0,0.0
47,205,0,0.0
48,207,0,0.0
49,215,0,0.0
50,217,0,0.0
51,220,0,0.0
52,221,0,0.0
53,223,0,0.0
54,224,0,0.0
55,230,0,0.0
56,236,0,0.0
57,240,0,0.0
58,242,0,0.0
59,245,0,0.0
60,246,0,0.0
61,250,0,0.0
62,251,0,0.0
63,261,0,0.0
64,265,0,0.0
65,274,0,0.0
66,277,0,0.0
67,280,0,0.0
68,282,0,0.0
69,283,0,0.0
70,292,0,0.0
71,299,0,0.0
72,301,0,0.0
73,302,0,0.0
74,304,0,0.0
75,306,0,0.0
76,307,0,0.0
77,312,0,0.0
78,315,0,0.0
79,317,0,0.0
80,319,0,0.0
81,321,0,0.0
82,324,0,0.0
83,326,0,0.0
84,329,0,0.0
85,332,0,0.0
86,335,0,0.0
87,346,0,0.0
88,351,0,0.0
89,367,0,0.0
90,371,0,0.0
91,373,0,0.0
92,376,0,0.0
93,383,0,0.0
94,392,0,0.0
95,393,0,0.0
96,397,0,0.0
97,402,0,0.0
98,403,0,0.0
99,412,0,0.0
100,415,0,0.0
101,419,0,0.0
102,432,0,0.0
103,436,0,0.0
104,447,0,0.0
105,449,0,0.0
106,455,0,0.0
107,469,0,0.0
108,480,0,0.0
109,496,0,0.0
110,509,0,0.0
111,515,0,0.0
112,516,0,0.0
113,520,0,0.0
114,534,0,0.0
115,539,0,0.0
116,541,0,0.0
117,544,0,0.0
118,546,0,0.0
119,551,0,0.0
120,552,0,0.0
121,556,0,0.0
122,562,0,0.0
123,563,0,0.0
124,566,0,0.0
125,574,0,0.0
126,594,0,0.0
127,595,0,0.0
128,600,0,0.0
129,615,0,0.0
130,619,0,0.0
131,624,0,0.0
132,631,0,0.0
133,635,0,0.0
134,640,0,0.0
135,645,0,0.0
136,653,0,0.0
137,656,0,0.0
138,660,0,0.0
139,669,0,0.0
140,674,0,0.0
141,682,0,0.0
142,683,0,0.0
143,686,0,0.0
144,689,0,0.0
145,691,0,0.0
146,700,0,0.0
147,706,0,0.0
148,712,0,0.0
149,715,0,0.0
150,721,0,0.0
151,740,0,0.0
152,745,0,0.0
153,751,0,0.0
154,757,0,0.0
155,769,0,0.0
156,771,0,0.0
157,779,0,0.0
158,790,0,0.0
159,793,0,0.0
160,797,0,0.0
161,799,0,0.0
162,801,0,0.0
163,807,0,0.0
164,813,0,0.0
165,817,0,0.0
166,819,0,0.0
167,823,0,0.0
168,826,0,0.0
169,832,0,0.0
170,833,0,0.0
171,837,0,0.0
172,839,0,0.0
173,842,0,0.0
174,849,0,0.0
175,850,0,0.0
176,851,0,0.0
177,856,0,0.0
178,861,0,0.0
179,862,0,0.0
180,863,0,0.0
181,865,0,0.0
182,869,0,0.0
183,873,0,0.0
184,874,0,0.0
185,876,0,0.0
186,877,0,0.0
187,880,0,0.0
188,891,0,0.0
189,899,0,0.0
190,902,0,0.0
191,911,0,0.0
192,916,0,0.0
193,917,0,0.0
194,920,0,0.0
195,924,0,0.0
196,925,0,0.0
197,926,0,0.0
198,932,0,0.0
199,933,0,0.0
200,935,0,0.0
201,946,0,0.0
202,952,0,0.0
203,953,0,0.0
204,960,0,0.0
205,963,0,0.0
206,965,0,0.0
207,967,0,0.0
208,973,0,0.0
209,974,0,0.0
210,975,0,0.0
211,986,1,0.0
212,989,0,0.0
213,991,0,0.0
214,992,0,0.0
215,1000,0,0.0
216,1001,0,0.0
217,1004,0,0.0
218,1010,0,0.0
219,1013,0,0.0
220,1015,0,0.0
221,1016,0,0.0
222,1019,0,0.0
223,1033,0,0.0
224,1036,0,0.0
225,1037,0,0.0
226,1040,0,0.0
227,1044,0,0.0
228,1053,0,0.0
229,1065,0,0.0
230,1070,0,0.0
231,1072,0,0.0
232,1075,0,0.0
233,1076,0,0.0
234,1079,0,0.0
235,1081,0,0.0
236,1082,0,0.0
237,1092,0,0.0
238,1093,0,0.0
239,1096,0,0.0
240,1102,0,0.0
241,1110,0,0.0
242,1115,0,0.0
243,1119,0,0.0
244,1121,0,0.0
245,1125,0,0.0
246,1131,0,0.0
247,1139,0,0.0
248,1140,0,0.0
249,1143,0,0.0
250,1147,0,0.0
251,1156,0,0.0
252,1157,0,0.0
253,1165,0,0.0
254,1166,0,0.0
255,1172,0,0.0
256,1183,0,0.0
257,1189,0,0.0
258,1191,0,0.0
259,1193,0,0.0
260,1195,0,0.0
261,1206,0,0.0
262,1207,0,0.0
263,1210,0,0.0
264,1215,0,0.0
265,1216,0,0.0
266,1217,0,0.0
267,1221,0,0.0
268,1222,0,0.0
269,1223,0,0.0
270,1229,0,0.0
271,1243,0,0.0
272,1249,0,0.0
273,1255,0,0.0
274,1260,0,0.0
275,1265,0,0.0
276,1267,0,0.0
277,1277,0,0.0
278,1279,0,0.0
279,1286,0,0.0
280,1287,0,0.0
281,1289,0,0.0
282,1293,0,0.0
283,1297,0,0.0
284,1300,0,0.0
285,1301,0,0.0
286,1305,0,0.0
287,1313,0,0.0
288,1320,0,0.0
289,1321,0,0.0
290,1325,0,0.0
291,1326,0,0.0
292,1332,0,0.0
293,1344,0,0.0
294,1347,0,0.0
295,1352,0,0.0
296,1365,0,0.0
297,1367,0,0.0
298,1370,0,0.0
299,1371,0,0.0
300,1377,0,0.0
301,1379,0,0.0
302,1384,0,0.0
303,1386,0,0.0
304,1391,0,0.0
305,1396,0,0.0
306,1399,0,0.0
307,1400,0,0.0
308,1409,0,0.0
309,1411,0,0.0
310,1416,0,0.0
311,1424,0,0.0
312,1425,0,0.0
313,1426,0,0.0
314,1427,0,0.0
315,1429,0,0.0
316,1435,0,0.0
317,1437,0,0.0
318,1445,0,0.0
319,1447,0,0.0
320,1450,0,0.0
321,1452,0,0.0
322,1453,0,0.0
323,1454,0,0.0
324,1456,0,0.0
325,1459,0,0.0
326,1462,0,0.0
327,1466,0,0.0
328,1469,0,0.0
329,1474,0,0.0
330,1475,0,0.0
331,1481,0,0.0
332,1486,0,0.0
333,1487,0,0.0
334,1509,0,0.0
335,1513,0,0.0
336,1516,0,0.0
337,1520,0,0.0
338,1524,0,0.0
339,1525,0,0.0
340,1535,0,0.0
341,1540,0,0.0
342,1541,0,0.0
343,1546,0,0.0
344,1547,0,0.0
