,id,refugees,refugees_prediction
0,2,0,0.0
1,7,0,0.0
2,22,0,0.0
3,30,0,0.0
4,36,0,0.0
5,37,0,0.0
6,39,0,0.0
7,41,0,0.0
8,43,0,0.0
9,44,0,0.0
10,45,0,0.0
11,46,0,0.0
12,47,0,0.0
13,51,0,0.0
14,66,0,0.0
15,67,0,0.0
16,80,0,0.0
17,83,0,0.0
18,84,0,0.0
19,91,0,0.0
20,94,0,0.0
21,96,0,0.0
22,97,0,0.0
23,99,0,0.0
24,102,0,0.0
25,105,0,0.0
26,107,0,0.0
27,113,0,0.0
28,114,0,0.0
29,117,0,0.0
30,120,0,0.0
31,122,0,0.0
32,123,0,0.0
33,126,0,0.0
34,139,0,0.0
35,141,1,0.0
36,143,0,0.0
37,146,0,0.0
38,149,0,0.0
39,157,0,0.0
40,159,0,0.0
41,160,0,0.0
42,162,0,0.0
43,163,0,0.0
44,166,0,0.0
45,170,0,0.0
46,171,1,0.0
47,177,0,0.0
48,181,0,0.0
49,185,0,0.0
50,197,0,0.0
51,199,0,0.0
52,202,0,0.0
53,202,0,0.0
54,205,0,0.0
55,210,1,0.0
56,214,0,0.0
57,217,0,0.0
58,225,0,0.0
59,226,0,0.0
60,236,0,0.0
61,239,0,0.0
62,241,0,0.0
63,246,0,0.0
64,250,0,0.0
65,251,0,0.0
66,256,0,0.0
67,261,0,0.0
68,265,0,0.0
69,272,0,0.0
70,273,0,0.0
71,274,0,0.0
72,280,0,0.0
73,290,0,0.0
74,293,0,0.0
75,296,0,0.0
76,317,0,0.0
77,325,0,0.0
78,326,0,0.0
79,345,0,0.0
80,346,0,0.0
81,349,0,0.0
82,352,0,0.0
83,361,0,0.0
84,371,0,0.0
85,381,0,0.0
86,382,0,0.0
87,383,0,0.0
88,386,0,0.0
89,391,0,0.0
90,396,0,0.0
91,399,0,0.0
92,401,0,0.0
93,402,0,0.0
94,412,0,0.0
95,417,0,0.0
96,419,0,0.0
97,423,0,0.0
98,424,0,1.0
99,432,0,0.0
100,433,0,0.0
101,435,0,0.0
102,437,0,0.0
103,443,0,0.0
104,444,0,0.0
105,446,0,0.0
106,453,0,0.0
107,455,0,0.0
108,461,0,0.0
109,462,0,0.0
110,465,0,0.0
111,481,0,0.0
112,482,0,0.0
113,484,0,0.0
114,485,0,0.0
115,500,0,0.0
116,504,0,0.0
117,512,0,0.0
118,513,0,0.0
119,514,0,0.0
120,522,0,0.0
121,525,0,0.0
122,527,0,0.0
123,533,0,0.0
124,535,0,0.0
125,536,0,0.0
126,543,0,0.0
127,545,0,0.0
128,551,0,0.0
129,552,0,0.0
130,563,0,0.0
131,566,1,0.0
132,571,0,0.0
133,573,0,0.0
134,575,0,0.0
135,576,0,0.0
136,577,0,0.0
137,592,0,0.0
138,593,0,0.0
139,594,0,0.0
140,599,0,0.0
141,601,0,0.0
142,602,0,0.0
143,605,0,0.0
144,609,0,0.0
145,617,0,0.0
146,622,0,0.0
147,623,0,0.0
148,624,0,0.0
149,631,0,0.0
150,633,0,1.0
151,642,0,0.0
152,645,0,0.0
153,652,0,0.0
154,653,0,0.0
155,657,0,0.0
156,659,0,0.0
157,661,0,0.0
158,664,0,0.0
159,667,0,0.0
160,671,0,0.0
161,674,0,0.0
162,676,0,0.0
163,679,0,0.0
164,680,0,0.0
165,681,0,0.0
166,682,0,0.0
167,684,0,0.0
168,685,0,0.0
169,689,0,0.0
170,690,0,0.0
171,691,0,0.0
172,695,0,0.0
173,696,0,0.0
174,697,0,0.0
175,701,0,0.0
176,710,0,0.0
177,711,0,0.0
178,729,0,0.0
179,737,0,0.0
180,742,0,0.0
181,749,0,0.0
182,751,0,0.0
183,756,0,0.0
184,757,0,0.0
185,761,0,0.0
186,762,0,0.0
187,763,0,0.0
188,765,0,0.0
189,774,0,0.0
190,781,0,0.0
191,784,0,0.0
192,789,0,0.0
193,793,0,0.0
194,797,0,0.0
195,800,0,0.0
196,802,0,0.0
197,805,0,0.0
198,812,0,0.0
199,816,0,0.0
200,817,0,0.0
201,819,0,0.0
202,820,0,0.0
203,825,0,0.0
204,826,0,0.0
205,830,0,0.0
206,833,0,0.0
207,842,0,0.0
208,844,0,0.0
209,851,0,0.0
210,854,0,0.0
211,856,0,0.0
212,857,0,0.0
213,859,1,0.0
214,869,0,0.0
215,872,0,0.0
216,874,0,0.0
217,879,0,0.0
218,884,0,0.0
219,887,0,0.0
220,892,0,0.0
221,893,0,0.0
222,901,0,0.0
223,902,0,0.0
224,904,0,0.0
225,905,0,0.0
226,911,0,0.0
227,913,1,0.0
228,917,0,0.0
229,919,0,0.0
230,920,0,0.0
231,923,0,0.0
232,925,0,0.0
233,932,0,0.0
234,936,0,0.0
235,953,0,0.0
236,954,0,0.0
237,962,0,0.0
238,965,0,0.0
239,971,0,0.0
240,991,0,0.0
241,1006,0,0.0
242,1007,0,0.0
243,1013,0,0.0
244,1026,0,0.0
245,1030,0,0.0
246,1031,0,0.0
247,1033,0,0.0
248,1036,0,0.0
249,1042,0,0.0
250,1043,0,0.0
251,1044,0,0.0
252,1053,0,0.0
253,1057,0,0.0
254,1060,0,0.0
255,1067,0,0.0
256,1070,0,0.0
257,1072,0,0.0
258,1082,0,0.0
259,1084,0,0.0
260,1089,0,0.0
261,1091,0,0.0
262,1095,0,0.0
263,1097,0,0.0
264,1102,1,0.0
265,1103,0,0.0
266,1110,0,0.0
267,1111,0,0.0
268,1115,0,0.0
269,1117,0,0.0
270,1119,0,0.0
271,1122,0,0.0
272,1124,0,0.0
273,1129,0,0.0
274,1135,0,0.0
275,1140,0,0.0
276,1143,0,0.0
277,1146,0,0.0
278,1155,0,0.0
279,1157,0,0.0
280,1160,0,0.0
281,1177,0,0.0
282,1181,0,0.0
283,1186,0,0.0
284,1189,0,0.0
285,1196,0,0.0
286,1197,0,0.0
287,1199,1,0.0
288,1200,0,0.0
289,1207,0,0.0
290,1210,0,0.0
291,1211,0,0.0
292,1220,0,0.0
293,1221,0,0.0
294,1225,0,0.0
295,1235,0,0.0
296,1236,0,0.0
297,1237,0,0.0
298,1250,0,0.0
299,1252,0,0.0
300,1254,0,0.0
301,1256,0,0.0
302,1259,0,0.0
303,1262,0,0.0
304,1264,0,0.0
305,1270,0,0.0
306,1287,0,0.0
307,1297,0,0.0
308,1306,0,0.0
309,1311,0,0.0
310,1314,0,0.0
311,1316,0,0.0
312,1322,0,0.0
313,1326,0,0.0
314,1329,1,0.0
315,1331,0,0.0
316,1337,0,0.0
317,1342,0,0.0
318,1346,0,0.0
319,1353,1,0.0
320,1356,0,0.0
321,1359,0,0.0
322,1360,0,0.0
323,1361,0,0.0
324,1367,0,0.0
325,1369,0,0.0
326,1375,0,0.0
327,1380,0,0.0
328,1382,0,0.0
329,1385,0,0.0
330,1390,0,0.0
331,1400,0,0.0
332,1402,0,0.0
333,1404,0,0.0
334,1407,0,0.0
335,1411,0,0.0
336,1413,0,0.0
337,1419,0,0.0
338,1432,0,0.0
339,1442,0,0.0
340,1444,0,0.0
341,1445,0,0.0
342,1446,0,0.0
343,1452,0,0.0
344,1462,0,0.0
345,1465,0,0.0
346,1466,0,0.0
347,1469,0,0.0
348,1470,0,0.0
349,1471,0,0.0
350,1474,0,0.0
351,1482,0,0.0
352,1483,0,0.0
353,1484,0,0.0
354,1487,0,0.0
355,1495,0,0.0
356,1502,0,0.0
357,1506,0,0.0
358,1511,0,0.0
359,1514,0,0.0
360,1515,0,0.0
361,1520,0,0.0
362,1521,0,0.0
363,1526,0,0.0
364,1527,0,0.0
365,1530,0,0.0
366,1531,0,0.0
367,1532,0,0.0
368,1533,0,0.0
369,1534,0,0.0
370,1536,0,0.0
371,1541,0,0.0
372,1547,0,0.0
373,1551,0,0.0
374,1565,0,0.0
375,1566,0,0.0
376,1567,0,0.0
377,1569,0,0.0
378,1570,0,0.0
379,1571,1,0.0
380,1574,0,0.0
381,1576,0,0.0
382,1580,0,0.0
383,1585,0,0.0
384,1600,0,0.0
385,1601,0,0.0
386,1602,0,0.0
387,1607,0,0.0
388,1609,0,0.0
389,1610,0,0.0
390,1612,0,0.0
391,1617,0,0.0
392,1619,0,0.0
393,1626,0,0.0
394,1627,0,0.0
395,1634,0,0.0
396,1640,0,0.0
397,1641,0,0.0
398,1646,0,0.0
399,1647,0,0.0
400,1649,0,0.0
401,1655,0,0.0
402,1659,0,0.0
403,1660,0,0.0
404,1663,0,0.0
405,1665,0,0.0
406,1672,0,0.0
407,1675,0,0.0
408,1684,0,0.0
409,1686,0,0.0
410,1696,0,0.0
411,1697,0,0.0
412,1703,0,0.0
413,1704,0,0.0
414,1709,0,0.0
415,1710,0,0.0
416,1711,0,0.0
417,1712,0,0.0
418,1716,0,0.0
419,1720,0,0.0
420,1721,0,0.0
421,1723,0,0.0
422,1725,0,0.0
423,1726,0,0.0
424,1730,0,0.0
425,1731,0,0.0
426,1733,0,0.0
427,1734,0,0.0
428,1735,0,0.0
429,1736,0,0.0
430,1753,0,0.0
431,1755,0,0.0
432,1760,1,0.0
433,1761,0,0.0
434,1763,0,0.0
435,1765,1,0.0
436,1767,0,0.0
437,1772,0,0.0
438,1777,0,0.0
439,1781,0,0.0
440,1782,0,0.0
441,1784,0,0.0
442,1789,0,0.0
443,1795,0,0.0
444,1800,0,0.0
445,1803,0,0.0
446,1827,0,0.0
447,1853,0,0.0
448,1855,0,0.0
449,1865,0,0.0
450,1867,0,0.0
451,1876,0,0.0
452,1877,0,0.0
453,1880,0,0.0
454,1881,0,0.0
455,1884,0,0.0
456,1885,0,0.0
457,1889,0,0.0
458,1894,0,0.0
459,1897,0,0.0
460,1899,0,0.0
461,1901,0,0.0
462,1912,0,0.0
463,1913,0,0.0
464,1916,0,0.0
465,1917,0,0.0
466,1921,0,1.0
467,1926,0,0.0
468,1936,1,0.0
469,1940,0,0.0
470,1941,0,0.0
471,1947,0,0.0
472,1951,0,0.0
473,1952,0,0.0
474,1957,0,0.0
475,1960,0,0.0
476,1961,0,0.0
477,1965,0,0.0
478,1982,0,0.0
479,1987,0,0.0
480,1989,0,0.0
481,1995,0,0.0
482,1996,0,0.0
483,2003,0,0.0
484,2006,0,0.0
485,2007,0,0.0
486,2013,0,0.0
487,2016,0,0.0
488,2025,0,0.0
489,2029,0,0.0
490,2030,0,0.0
491,2031,0,0.0
492,2034,0,0.0
493,2039,0,0.0
494,2041,0,0.0
495,2043,0,0.0
496,2044,0,0.0
497,2045,0,0.0
498,2051,0,0.0
499,2061,0,0.0
500,2063,0,0.0
501,2074,0,0.0
502,2076,0,0.0
503,2084,0,0.0
504,2085,0,0.0
505,2086,0,0.0
506,2091,0,0.0
507,2093,0,0.0
508,2099,0,0.0
509,2100,0,0.0
510,2105,0,0.0
511,2107,0,0.0
512,2109,0,0.0
513,2113,0,0.0
514,2116,0,0.0
515,2123,0,0.0
516,2127,0,0.0
517,2133,0,0.0
518,2141,0,0.0
519,2142,0,0.0
520,2156,0,0.0
521,2165,0,0.0
522,2174,0,0.0
523,2175,0,0.0
524,2179,0,0.0
525,2185,0,0.0
526,2210,0,0.0
527,2212,0,0.0
528,2213,0,0.0
529,2215,0,0.0
530,2216,0,0.0
531,2237,0,0.0
532,2245,0,0.0
533,2246,0,0.0
534,2250,0,0.0
535,2254,0,0.0
536,2256,0,0.0
537,2264,0,0.0
538,2270,0,0.0
539,2275,0,0.0
540,2276,0,0.0
541,2280,0,0.0
542,2282,0,0.0
543,2284,0,0.0
544,2290,0,0.0
545,2294,0,0.0
546,2297,0,0.0
