,id,cold,cold_prediction
0,2,0,0.0
1,7,0,0.0
2,14,0,0.0
3,25,0,0.0
4,31,0,0.0
5,34,0,0.0
6,35,0,0.0
7,45,0,0.0
8,46,0,0.0
9,47,0,0.0
10,53,0,0.0
11,57,0,0.0
12,71,0,0.0
13,73,0,0.0
14,74,0,0.0
15,80,0,0.0
16,84,0,0.0
17,94,0,0.0
18,95,0,0.0
19,96,0,0.0
20,102,0,0.0
21,105,0,0.0
22,106,1,0.0
23,107,0,0.0
24,110,0,0.0
25,112,0,0.0
26,114,0,0.0
27,119,0,0.0
28,123,0,0.0
29,131,0,0.0
30,133,0,0.0
31,140,0,0.0
32,146,0,0.0
33,147,0,0.0
34,150,0,0.0
35,153,1,0.0
36,155,0,0.0
37,159,0,0.0
38,163,0,0.0
39,177,0,0.0
40,181,0,0.0
41,184,0,0.0
42,191,0,0.0
43,210,0,0.0
44,211,0,0.0
45,213,0,0.0
46,214,0,0.0
47,215,0,0.0
48,219,0,0.0
49,222,0,0.0
50,224,0,0.0
51,226,0,0.0
52,233,0,0.0
53,235,0,0.0
54,241,0,0.0
55,251,0,0.0
56,255,0,0.0
57,260,0,1.0
58,261,0,0.0
59,267,0,0.0
60,271,0,0.0
61,272,0,0.0
62,275,0,0.0
63,276,0,0.0
64,277,0,0.0
65,279,0,0.0
66,280,0,0.0
67,292,0,0.0
68,296,0,0.0
69,304,0,0.0
70,307,0,0.0
71,310,0,0.0
72,313,0,0.0
73,315,0,0.0
74,320,0,0.0
75,321,0,0.0
76,323,0,0.0
77,325,0,0.0
78,329,0,0.0
79,334,0,0.0
80,337,0,0.0
81,342,0,0.0
82,345,0,0.0
83,349,0,0.0
84,354,0,0.0
85,360,0,0.0
86,362,0,0.0
87,367,0,0.0
88,372,0,0.0
89,375,0,0.0
90,381,0,0.0
91,383,0,0.0
92,385,0,0.0
93,396,0,0.0
94,409,0,0.0
95,410,0,0.0
96,411,0,0.0
97,417,0,0.0
98,419,0,0.0
99,432,0,0.0
100,444,0,0.0
101,469,0,0.0
102,474,0,0.0
103,484,0,0.0
104,486,0,0.0
105,492,0,0.0
106,497,0,0.0
107,500,0,0.0
108,507,0,0.0
109,509,0,0.0
110,514,0,0.0
111,515,0,0.0
112,520,0,0.0
113,529,0,0.0
114,533,0,0.0
115,536,0,0.0
116,540,0,0.0
117,546,0,0.0
118,551,0,0.0
119,555,0,0.0
120,556,0,0.0
121,565,0,0.0
122,569,0,0.0
123,576,0,0.0
124,582,0,0.0
125,583,0,0.0
126,593,0,0.0
127,594,0,0.0
128,595,0,0.0
129,611,0,0.0
130,613,0,0.0
131,617,0,0.0
132,620,0,0.0
133,622,0,0.0
134,625,0,0.0
135,627,0,0.0
136,629,0,0.0
137,630,0,0.0
138,633,0,1.0
139,640,0,0.0
140,642,0,0.0
141,647,0,0.0
142,655,0,0.0
143,656,0,0.0
144,657,0,0.0
145,659,0,0.0
146,669,0,0.0
147,671,0,0.0
148,674,0,0.0
149,681,0,0.0
150,683,0,0.0
151,684,0,0.0
152,686,0,0.0
153,690,0,0.0
154,696,0,0.0
155,699,0,0.0
156,714,0,0.0
157,726,0,0.0
158,731,0,0.0
159,740,0,0.0
160,742,0,0.0
161,751,0,0.0
162,757,0,0.0
163,767,1,0.0
164,769,0,0.0
165,771,0,0.0
166,774,0,0.0
167,783,0,0.0
168,785,0,0.0
169,789,0,0.0
170,795,0,0.0
171,797,0,0.0
172,804,0,0.0
173,804,0,0.0
174,806,0,0.0
175,810,0,0.0
176,812,0,0.0
177,827,0,0.0
178,829,0,0.0
179,830,0,0.0
180,831,0,0.0
181,835,0,0.0
182,837,0,0.0
183,839,0,0.0
184,841,0,0.0
185,845,0,0.0
186,847,0,0.0
187,851,0,0.0
188,862,0,0.0
189,863,0,0.0
190,866,0,0.0
191,869,0,0.0
192,871,0,0.0
193,872,0,0.0
194,876,0,0.0
195,879,0,0.0
196,881,0,0.0
197,882,0,0.0
198,884,0,0.0
199,891,0,0.0
200,892,0,0.0
201,893,0,0.0
202,894,0,0.0
203,896,0,0.0
204,900,0,0.0
205,901,0,0.0
206,909,0,0.0
207,911,0,0.0
208,914,0,0.0
209,917,0,0.0
210,927,0,0.0
211,930,0,0.0
212,931,0,0.0
213,937,0,0.0
214,939,0,0.0
215,942,0,0.0
216,944,0,0.0
217,947,0,0.0
218,957,1,0.0
219,960,0,0.0
220,962,0,0.0
221,963,0,0.0
222,966,0,0.0
223,967,0,0.0
224,970,0,0.0
225,971,0,0.0
226,973,0,0.0
227,980,0,0.0
228,983,0,0.0
229,985,0,0.0
230,992,0,0.0
231,993,0,0.0
232,1014,0,0.0
233,1017,0,0.0
234,1019,0,0.0
235,1022,0,0.0
236,1023,0,0.0
237,1039,0,0.0
238,1042,0,0.0
239,1043,0,0.0
240,1044,0,0.0
241,1049,0,0.0
242,1052,0,0.0
243,1053,0,0.0
244,1057,0,0.0
245,1060,0,0.0
246,1063,0,0.0
247,1074,0,0.0
248,1075,0,0.0
249,1077,0,0.0
250,1081,0,0.0
251,1082,0,0.0
252,1084,0,0.0
253,1091,0,0.0
254,1096,0,0.0
255,1097,0,0.0
256,1102,0,0.0
257,1103,0,0.0
258,1104,0,0.0
259,1107,0,0.0
260,1111,0,0.0
261,1115,0,0.0
262,1117,0,0.0
263,1123,0,0.0
264,1129,0,0.0
265,1139,0,0.0
266,1140,0,0.0
267,1142,0,0.0
268,1154,0,0.0
269,1157,0,0.0
270,1162,0,0.0
271,1165,0,0.0
272,1172,0,0.0
273,1176,0,0.0
274,1186,0,0.0
275,1187,0,0.0
276,1189,0,0.0
277,1192,0,0.0
278,1199,0,0.0
279,1203,0,0.0
280,1209,0,0.0
281,1211,0,0.0
282,1216,0,0.0
283,1217,0,0.0
284,1223,0,0.0
285,1229,0,0.0
286,1230,0,0.0
287,1232,0,0.0
288,1233,0,0.0
289,1241,0,0.0
290,1244,0,0.0
291,1246,0,0.0
292,1249,0,0.0
293,1250,0,0.0
294,1256,0,0.0
295,1259,0,0.0
296,1260,0,0.0
297,1265,0,0.0
298,1266,0,0.0
299,1274,0,0.0
300,1275,0,0.0
301,1279,0,0.0
302,1283,0,0.0
303,1286,0,0.0
304,1287,0,0.0
305,1293,0,0.0
306,1304,0,0.0
307,1306,0,0.0
308,1307,0,0.0
309,1310,0,0.0
310,1320,0,0.0
311,1327,0,0.0
312,1340,0,0.0
313,1342,0,0.0
314,1345,0,0.0
315,1351,0,0.0
316,1352,0,0.0
317,1354,0,0.0
318,1355,0,0.0
319,1361,0,0.0
320,1364,0,0.0
321,1365,0,0.0
322,1367,0,0.0
323,1372,0,0.0
324,1382,0,0.0
325,1383,0,0.0
326,1386,0,0.0
327,1387,0,0.0
328,1390,1,0.0
329,1396,0,0.0
330,1397,0,0.0
331,1400,0,0.0
332,1401,0,0.0
333,1402,0,0.0
334,1404,0,0.0
335,1406,0,0.0
336,1407,0,0.0
337,1432,0,0.0
338,1435,0,0.0
339,1436,0,0.0
340,1451,0,0.0
341,1454,0,0.0
342,1460,0,0.0
343,1462,0,0.0
344,1466,0,0.0
345,1467,0,0.0
346,1472,0,0.0
347,1473,0,0.0
348,1480,0,0.0
349,1481,0,0.0
350,1489,0,0.0
351,1499,0,0.0
352,1501,0,0.0
353,1502,0,0.0
354,1509,0,0.0
355,1513,0,0.0
356,1516,0,0.0
357,1519,0,0.0
358,1525,0,0.0
359,1530,0,0.0
360,1532,0,0.0
361,1533,0,0.0
362,1544,0,0.0
363,1545,0,0.0
364,1549,0,0.0
365,1551,0,0.0
366,1552,0,0.0
367,1555,0,0.0
368,1563,0,0.0
369,1565,0,0.0
370,1567,0,0.0
371,1569,0,0.0
372,1573,0,0.0
373,1574,0,0.0
374,1577,0,0.0
375,1580,0,0.0
376,1582,0,0.0
377,1583,0,0.0
378,1584,0,0.0
379,1589,0,0.0
380,1590,0,0.0
381,1596,0,0.0
382,1597,0,0.0
383,1600,0,0.0
384,1602,0,0.0
385,1607,0,0.0
386,1615,0,0.0
387,1623,0,0.0
388,1625,0,0.0
389,1626,0,0.0
390,1627,0,0.0
391,1634,0,0.0
392,1635,0,0.0
393,1641,0,0.0
394,1642,0,0.0
395,1647,0,0.0
396,1650,0,0.0
397,1662,0,0.0
398,1669,0,0.0
399,1670,0,0.0
400,1671,0,0.0
401,1676,0,0.0
402,1687,0,0.0
403,1692,0,0.0
404,1695,0,0.0
405,1699,0,0.0
406,1703,0,0.0
407,1704,0,0.0
408,1707,0,0.0
409,1710,0,0.0
410,1714,0,0.0
411,1719,0,0.0
412,1734,0,0.0
413,1735,0,0.0
414,1736,0,0.0
415,1741,0,0.0
416,1742,0,0.0
417,1745,0,0.0
418,1746,1,0.0
419,1747,0,0.0
420,1750,0,0.0
421,1755,0,0.0
422,1759,0,0.0
423,1760,0,0.0
424,1763,0,0.0
425,1773,0,0.0
426,1774,0,0.0
427,1776,0,0.0
428,1779,0,0.0
429,1781,0,0.0
430,1783,0,0.0
431,1785,0,0.0
432,1789,0,0.0
433,1790,0,0.0
434,1793,0,0.0
435,1796,0,0.0
436,1799,0,0.0
437,1800,0,0.0
438,1805,0,0.0
439,1816,0,0.0
440,1817,0,0.0
441,1825,0,0.0
442,1826,0,0.0
443,1831,0,0.0
444,1843,0,0.0
445,1846,0,0.0
446,1847,0,0.0
447,1849,0,0.0
448,1851,0,0.0
449,1852,0,0.0
450,1853,0,0.0
451,1856,0,0.0
452,1859,0,0.0
453,1861,0,0.0
454,1865,0,0.0
455,1866,0,0.0
456,1867,0,0.0
457,1872,0,0.0
458,1874,0,0.0
459,1875,0,0.0
460,1876,0,0.0
461,1880,0,0.0
462,1882,0,0.0
463,1884,0,0.0
464,1889,0,0.0
465,1899,0,0.0
466,1901,0,0.0
467,1903,0,0.0
468,1906,0,0.0
469,1907,0,0.0
470,1909,0,0.0
471,1910,0,0.0
472,1912,0,0.0
473,1917,0,0.0
474,1919,0,0.0
475,1921,0,0.0
476,1923,0,0.0
477,1924,0,0.0
478,1936,0,0.0
479,1937,0,0.0
480,1940,0,0.0
481,1942,0,0.0
482,1946,0,0.0
483,1947,0,0.0
484,1950,0,0.0
485,1951,0,0.0
486,1952,0,0.0
487,1961,1,0.0
488,1974,0,0.0
489,1976,0,0.0
490,1981,0,0.0
491,1986,0,0.0
492,1987,0,0.0
493,1990,0,0.0
494,1991,0,0.0
495,1996,0,0.0
496,1999,0,0.0
497,2000,0,0.0
498,2004,0,0.0
499,2007,0,0.0
500,2010,0,0.0
501,2011,0,0.0
502,2013,0,0.0
503,2014,0,0.0
504,2015,0,0.0
505,2016,0,0.0
506,2020,0,0.0
507,2021,0,0.0
508,2030,0,0.0
509,2032,0,0.0
510,2033,0,0.0
511,2034,0,0.0
512,2037,0,0.0
513,2039,0,0.0
514,2043,0,0.0
515,2044,0,0.0
516,2049,0,0.0
517,2052,0,0.0
518,2055,0,0.0
519,2061,0,0.0
520,2064,0,0.0
521,2065,0,0.0
522,2066,0,0.0
523,2070,0,0.0
524,2073,0,0.0
525,2074,0,0.0
526,2075,0,0.0
527,2086,0,0.0
528,2092,0,0.0
529,2096,0,0.0
530,2099,0,0.0
531,2103,0,0.0
532,2104,0,0.0
533,2106,0,0.0
534,2110,0,0.0
535,2117,0,0.0
536,2123,0,0.0
537,2133,0,0.0
538,2134,0,0.0
539,2137,0,0.0
540,2139,0,0.0
541,2143,0,0.0
542,2145,0,0.0
543,2154,0,0.0
544,2157,0,0.0
545,2163,0,0.0
546,2166,0,0.0
