,id,transport,transport_prediction
0,15,0,0.0
1,16,0,0.0
2,20,1,0.0
3,30,0,0.0
4,31,0,0.0
5,34,0,0.0
6,36,0,0.0
7,39,1,0.0
8,45,0,0.0
9,49,0,0.0
10,50,0,0.0
11,57,0,0.0
12,63,0,0.0
13,66,0,0.0
14,67,0,0.0
15,70,0,0.0
16,74,0,0.0
17,86,0,0.0
18,92,0,0.0
19,94,0,0.0
20,100,0,0.0
21,101,0,0.0
22,102,0,0.0
23,107,0,0.0
24,112,0,0.0
25,119,0,0.0
26,120,0,0.0
27,121,0,0.0
28,123,0,0.0
29,124,0,0.0
30,126,0,0.0
31,127,0,0.0
32,129,0,1.0
33,130,0,0.0
34,131,0,0.0
35,136,0,0.0
36,137,0,0.0
37,139,0,0.0
38,140,0,0.0
39,146,0,0.0
40,147,0,0.0
41,151,0,0.0
42,156,0,0.0
43,157,0,1.0
44,159,0,0.0
45,161,0,0.0
46,163,0,0.0
47,164,0,0.0
48,165,0,0.0
49,166,0,0.0
50,170,0,0.0
51,182,0,0.0
52,187,0,0.0
53,194,0,0.0
54,202,0,0.0
55,213,0,0.0
56,214,0,0.0
57,221,0,0.0
58,224,0,0.0
59,227,0,0.0
60,231,0,0.0
61,233,0,0.0
62,237,0,0.0
63,240,0,0.0
64,241,0,0.0
65,247,0,0.0
66,250,0,0.0
67,259,1,0.0
68,260,0,1.0
69,274,0,0.0
70,276,0,0.0
71,277,0,0.0
72,303,0,0.0
73,312,0,0.0
74,316,0,0.0
75,317,0,0.0
76,321,0,0.0
77,325,0,0.0
78,334,0,0.0
79,335,0,0.0
80,340,0,0.0
81,341,0,0.0
82,349,0,0.0
83,360,0,0.0
84,372,0,0.0
85,377,0,0.0
86,380,0,0.0
87,382,0,0.0
88,386,0,0.0
89,389,0,0.0
90,393,0,0.0
91,403,0,0.0
92,407,0,0.0
93,410,0,0.0
94,411,0,0.0
95,416,0,0.0
96,424,0,0.0
97,426,0,0.0
98,436,0,0.0
99,449,0,0.0
100,453,0,0.0
101,465,0,0.0
102,467,0,0.0
103,471,0,0.0
104,486,0,0.0
105,511,0,0.0
106,514,0,0.0
107,516,0,0.0
108,519,0,0.0
109,522,0,0.0
110,524,0,0.0
111,535,0,0.0
112,545,0,0.0
113,546,0,0.0
114,550,0,0.0
115,562,0,0.0
116,564,0,0.0
117,566,0,0.0
118,573,0,0.0
119,585,0,0.0
120,587,0,0.0
121,593,0,0.0
122,594,0,0.0
123,597,0,0.0
124,599,0,0.0
125,612,0,0.0
126,615,0,0.0
127,625,0,0.0
128,627,0,0.0
129,629,0,0.0
130,630,0,0.0
131,634,0,0.0
132,637,0,0.0
133,641,0,0.0
134,644,0,0.0
135,652,0,0.0
136,654,0,0.0
137,655,0,0.0
138,657,0,0.0
139,659,0,0.0
140,661,0,0.0
141,664,0,0.0
142,667,0,0.0
143,670,0,0.0
144,673,0,0.0
145,676,1,0.0
146,684,0,0.0
147,685,0,0.0
148,687,0,0.0
149,690,0,0.0
150,691,0,0.0
151,695,0,0.0
152,699,0,0.0
153,700,0,0.0
154,703,0,0.0
155,704,0,0.0
156,711,0,0.0
157,727,0,0.0
158,730,0,0.0
159,731,0,0.0
160,734,0,0.0
161,736,0,0.0
162,741,0,0.0
163,745,0,0.0
164,757,0,0.0
165,775,0,0.0
166,777,0,0.0
167,789,0,0.0
168,792,0,0.0
169,799,0,0.0
170,802,0,0.0
171,804,0,0.0
172,804,0,0.0
173,806,0,0.0
174,807,0,0.0
175,810,0,0.0
176,811,0,0.0
177,812,0,0.0
178,816,0,0.0
179,820,0,0.0
180,821,0,0.0
181,825,1,0.0
182,829,0,0.0
183,830,0,0.0
184,831,0,0.0
185,839,0,0.0
186,840,0,0.0
187,841,0,0.0
188,845,0,0.0
189,849,0,0.0
190,853,0,0.0
191,856,0,0.0
192,857,0,0.0
193,859,0,0.0
194,861,0,0.0
195,865,0,0.0
196,867,0,0.0
197,871,0,0.0
198,874,0,0.0
199,876,0,0.0
200,881,0,0.0
201,883,1,0.0
202,884,0,0.0
203,896,0,0.0
204,901,0,0.0
205,907,0,0.0
206,916,0,0.0
207,917,0,0.0
208,919,0,0.0
209,925,0,0.0
210,927,0,0.0
211,929,0,0.0
212,932,0,0.0
213,935,0,0.0
214,940,0,0.0
215,943,0,0.0
216,947,1,0.0
217,957,0,0.0
218,960,0,0.0
219,964,0,0.0
220,966,0,0.0
221,970,0,0.0
222,971,0,0.0
223,972,0,0.0
224,974,0,0.0
225,984,0,0.0
226,986,0,0.0
227,987,0,0.0
228,990,0,0.0
229,995,0,0.0
230,1000,0,0.0
231,1002,0,0.0
232,1006,0,0.0
233,1010,0,0.0
234,1011,0,0.0
235,1026,0,0.0
236,1027,0,0.0
237,1030,0,0.0
238,1039,0,0.0
239,1044,0,0.0
240,1047,0,0.0
241,1053,0,0.0
242,1056,0,0.0
243,1060,0,0.0
244,1062,0,0.0
245,1065,0,0.0
246,1067,0,0.0
247,1076,0,0.0
248,1081,0,0.0
249,1092,0,0.0
250,1095,0,0.0
251,1101,0,0.0
252,1102,1,0.0
253,1110,0,0.0
254,1113,0,0.0
255,1119,0,0.0
256,1124,0,0.0
257,1125,0,0.0
258,1129,0,0.0
259,1130,0,0.0
260,1133,0,0.0
261,1136,0,0.0
262,1139,0,0.0
263,1143,0,0.0
264,1146,0,0.0
265,1155,0,0.0
266,1157,0,0.0
