,id,water,water_prediction
0,2,0,0.0
1,7,0,0.0
2,14,0,0.0
3,16,1,1.0
4,24,0,1.0
5,25,0,0.0
6,33,0,0.0
7,34,1,0.0
8,36,0,0.0
9,45,0,0.0
10,50,0,0.0
11,51,0,0.0
12,56,0,0.0
13,62,0,0.0
14,63,0,0.0
15,65,0,0.0
16,67,0,0.0
17,74,0,0.0
18,92,1,0.0
19,95,0,0.0
20,96,0,0.0
21,105,0,0.0
22,110,0,0.0
23,121,0,0.0
24,123,0,0.0
25,134,0,0.0
26,143,0,0.0
27,152,0,0.0
28,165,0,0.0
29,174,0,0.0
30,177,0,1.0
31,185,0,0.0
32,187,1,1.0
33,193,1,0.0
34,194,1,0.0
35,197,0,0.0
36,210,1,1.0
37,212,1,1.0
38,213,0,0.0
39,216,0,0.0
40,226,0,0.0
41,234,0,0.0
42,235,0,0.0
43,239,0,0.0
44,245,1,0.0
45,247,0,0.0
46,249,0,0.0
47,251,1,0.0
48,253,0,0.0
49,254,0,0.0
50,255,0,0.0
51,262,0,0.0
52,263,0,0.0
53,269,0,0.0
54,277,0,0.0
55,284,0,0.0
56,289,0,0.0
57,292,0,0.0
58,293,0,0.0
59,294,0,0.0
60,295,0,0.0
61,303,1,0.0
62,320,1,0.0
63,321,0,0.0
64,324,0,1.0
65,325,0,0.0
66,329,0,0.0
67,332,0,0.0
68,346,0,0.0
69,354,0,0.0
70,369,0,0.0
71,375,0,0.0
72,380,0,0.0
73,384,1,0.0
74,395,0,0.0
75,401,1,0.0
76,405,1,0.0
77,406,0,0.0
78,410,0,0.0
79,417,0,0.0
80,420,0,0.0
81,424,0,1.0
82,432,0,0.0
83,436,0,1.0
84,455,0,0.0
85,456,0,0.0
86,465,0,0.0
87,466,0,0.0
88,470,0,0.0
89,480,0,0.0
90,482,0,0.0
91,486,0,0.0
92,487,0,0.0
93,504,0,0.0
94,513,0,0.0
95,517,0,0.0
96,524,0,0.0
97,525,0,0.0
98,530,0,0.0
99,541,1,0.0
100,542,0,1.0
101,545,0,0.0
102,547,0,0.0
103,549,1,0.0
104,561,0,0.0
105,563,0,1.0
106,564,0,0.0
107,580,0,0.0
108,585,0,0.0
109,587,0,0.0
110,592,0,0.0
111,595,0,0.0
112,605,0,0.0
113,606,0,0.0
114,611,1,1.0
115,612,0,0.0
116,614,1,0.0
117,615,0,0.0
118,620,0,0.0
119,621,0,0.0
120,625,0,0.0
121,626,1,1.0
122,633,0,1.0
123,636,0,0.0
124,640,1,0.0
125,643,1,0.0
126,645,0,0.0
127,664,0,0.0
128,671,0,0.0
129,684,1,0.0
130,691,1,0.0
131,692,1,0.0
132,704,0,0.0
133,705,0,0.0
134,706,0,0.0
135,720,0,0.0
136,721,0,0.0
137,727,0,0.0
138,729,0,1.0
139,731,1,1.0
140,740,0,0.0
141,741,0,0.0
142,742,0,0.0
143,743,0,0.0
144,750,1,0.0
145,756,0,0.0
146,769,0,0.0
147,772,0,0.0
148,775,0,0.0
149,776,0,0.0
150,779,0,0.0
151,781,0,0.0
152,783,0,0.0
153,787,0,1.0
154,791,0,0.0
155,795,0,0.0
156,805,0,0.0
157,807,1,1.0
158,809,1,0.0
159,810,0,1.0
160,820,0,0.0
161,829,0,0.0
162,839,0,0.0
163,840,0,0.0
164,844,0,0.0
165,850,0,1.0
166,862,0,0.0
167,862,0,0.0
168,871,0,0.0
169,873,0,0.0
170,874,0,0.0
171,875,0,0.0
172,876,0,0.0
173,879,0,0.0
174,887,0,0.0
175,895,0,0.0
176,896,0,0.0
177,897,0,0.0
178,907,0,0.0
179,911,1,0.0
180,923,0,0.0
181,929,0,0.0
182,930,0,0.0
183,932,0,0.0
184,937,0,0.0
185,940,0,0.0
186,943,0,0.0
187,952,0,0.0
188,954,0,0.0
189,960,0,0.0
190,975,0,0.0
191,984,0,0.0
192,985,0,0.0
193,986,0,0.0
194,991,0,0.0
195,1000,0,0.0
196,1004,1,0.0
197,1007,0,0.0
198,1012,0,0.0
199,1017,0,0.0
200,1019,1,0.0
201,1027,0,0.0
202,1030,1,1.0
203,1036,0,1.0
204,1037,0,0.0
205,1040,0,0.0
206,1052,1,0.0
207,1055,0,0.0
208,1057,1,0.0
209,1061,0,0.0
210,1063,0,0.0
211,1065,0,0.0
212,1076,1,0.0
213,1082,0,0.0
214,1086,0,0.0
215,1089,1,0.0
216,1090,1,0.0
217,1094,0,1.0
218,1103,0,0.0
219,1111,0,0.0
220,1113,0,0.0
221,1120,0,1.0
222,1121,0,0.0
223,1122,0,0.0
224,1127,1,0.0
225,1130,0,0.0
226,1131,0,0.0
227,1140,0,0.0
228,1144,0,0.0
229,1145,0,0.0
230,1146,1,0.0
231,1147,0,0.0
232,1160,1,0.0
233,1161,0,1.0
234,1169,0,0.0
235,1171,0,0.0
236,1173,0,0.0
237,1174,0,0.0
238,1175,0,0.0
239,1179,0,0.0
240,1181,0,0.0
241,1193,0,0.0
242,1206,0,0.0
243,1216,0,0.0
244,1231,0,0.0
245,1232,1,1.0
246,1235,1,0.0
247,1239,0,0.0
248,1241,0,0.0
249,1246,0,0.0
250,1250,0,0.0
251,1263,0,0.0
252,1264,0,0.0
253,1277,0,0.0
254,1280,0,1.0
255,1283,0,0.0
256,1285,0,0.0
257,1286,1,1.0
258,1297,0,0.0
259,1299,0,0.0
260,1306,0,0.0
261,1313,0,0.0
262,1314,1,0.0
263,1315,0,0.0
264,1322,1,0.0
265,1329,0,0.0
266,1332,0,0.0
267,1337,0,0.0
268,1341,0,0.0
269,1346,0,0.0
270,1347,0,0.0
271,1351,0,0.0
272,1352,0,0.0
273,1354,0,0.0
274,1355,0,0.0
275,1356,0,0.0
276,1363,0,0.0
277,1367,0,0.0
278,1372,0,0.0
279,1375,0,0.0
280,1376,0,0.0
281,1381,0,0.0
282,1384,0,0.0
283,1385,0,0.0
284,1390,0,0.0
285,1395,0,0.0
286,1409,1,0.0
287,1410,0,0.0
288,1415,0,0.0
289,1416,0,0.0
290,1419,0,0.0
291,1422,0,0.0
292,1423,0,0.0
293,1424,0,0.0
294,1426,0,0.0
295,1431,0,0.0
296,1433,0,0.0
297,1434,0,0.0
298,1451,0,0.0
299,1454,0,0.0
300,1461,1,0.0
301,1465,0,0.0
302,1471,0,0.0
303,1473,0,0.0
304,1477,0,0.0
305,1484,0,0.0
306,1487,0,0.0
307,1490,0,0.0
308,1491,0,0.0
309,1494,1,0.0
310,1499,0,0.0
311,1502,0,0.0
312,1504,0,0.0
313,1512,1,0.0
314,1513,0,0.0
315,1514,0,0.0
316,1521,0,0.0
317,1525,0,0.0
318,1526,0,0.0
319,1527,0,0.0
320,1530,0,0.0
321,1532,0,0.0
322,1536,0,0.0
323,1542,0,0.0
324,1543,0,0.0
325,1546,0,0.0
326,1549,0,0.0
327,1550,0,0.0
328,1551,0,0.0
329,1555,1,0.0
330,1557,0,0.0
331,1559,0,0.0
332,1560,0,0.0
333,1563,0,1.0
334,1570,0,0.0
335,1571,0,0.0
336,1572,0,0.0
337,1573,0,0.0
338,1576,0,0.0
339,1577,0,0.0
340,1584,1,1.0
341,1585,0,0.0
342,1606,0,0.0
343,1619,0,0.0
344,1622,0,0.0
345,1629,0,0.0
346,1633,0,0.0
347,1634,0,0.0
348,1635,0,0.0
349,1644,0,0.0
350,1646,0,0.0
351,1650,1,1.0
352,1654,0,0.0
353,1656,0,0.0
354,1660,0,0.0
355,1662,0,0.0
356,1673,0,0.0
357,1675,0,0.0
358,1677,0,0.0
359,1681,0,0.0
360,1683,0,0.0
361,1690,0,0.0
362,1694,0,0.0
363,1695,0,0.0
364,1696,1,0.0
365,1701,0,0.0
366,1704,1,0.0
367,1711,0,0.0
368,1713,0,0.0
369,1714,0,0.0
370,1719,0,0.0
371,1721,0,0.0
372,1723,0,0.0
373,1724,0,1.0
374,1726,0,0.0
375,1729,0,0.0
376,1737,0,0.0
377,1741,0,0.0
378,1743,0,0.0
379,1745,0,0.0
380,1754,1,0.0
381,1759,0,0.0
382,1760,1,0.0
383,1763,0,0.0
384,1766,0,0.0
385,1767,0,0.0
386,1771,0,0.0
387,1773,1,0.0
388,1774,1,0.0
389,1775,0,0.0
390,1777,0,0.0
391,1779,0,0.0
392,1780,1,0.0
393,1781,0,0.0
394,1786,0,0.0
395,1787,0,0.0
396,1789,0,0.0
397,1790,0,0.0
398,1792,0,0.0
399,1794,0,0.0
400,1795,0,0.0
401,1800,0,0.0
402,1803,0,0.0
403,1804,0,0.0
404,1809,0,0.0
405,1811,0,0.0
406,1813,0,0.0
407,1814,0,0.0
408,1823,0,0.0
409,1832,0,0.0
410,1836,0,0.0
411,1839,0,0.0
412,1844,0,0.0
413,1846,0,0.0
414,1849,0,0.0
415,1850,0,0.0
416,1852,0,0.0
417,1853,0,0.0
418,1855,0,0.0
419,1857,0,0.0
420,1859,0,0.0
421,1872,0,0.0
422,1873,0,0.0
423,1874,0,0.0
424,1879,0,0.0
425,1881,0,0.0
426,1895,0,0.0
427,1897,0,0.0
428,1902,1,1.0
429,1904,0,0.0
430,1915,0,0.0
431,1916,1,0.0
432,1917,0,0.0
433,1919,1,0.0
434,1927,0,0.0
435,1931,0,0.0
436,1932,0,0.0
437,1934,0,0.0
438,1941,0,0.0
439,1942,0,0.0
440,1945,0,0.0
441,1946,0,0.0
442,1947,0,0.0
443,1965,0,0.0
444,1966,0,0.0
445,1967,0,0.0
446,1975,0,0.0
447,1976,0,0.0
448,1980,0,0.0
449,2003,0,0.0
450,2009,0,0.0
451,2011,0,0.0
452,2012,0,0.0
453,2015,0,0.0
454,2017,0,0.0
455,2020,0,0.0
456,2022,0,0.0
457,2025,0,0.0
458,2029,0,0.0
459,2030,0,0.0
460,2032,0,0.0
461,2034,0,0.0
462,2042,0,0.0
463,2051,0,0.0
464,2053,0,0.0
465,2055,0,1.0
466,2056,0,0.0
467,2064,0,0.0
468,2069,0,0.0
469,2073,0,0.0
470,2083,0,0.0
471,2084,0,0.0
472,2085,0,0.0
473,2086,0,0.0
474,2087,1,0.0
475,2093,0,0.0
476,2096,0,0.0
477,2104,0,0.0
478,2106,0,0.0
479,2114,0,0.0
480,2119,1,1.0
481,2133,0,0.0
482,2143,0,0.0
483,2153,1,0.0
484,2155,1,0.0
485,2160,1,0.0
486,2162,1,0.0
487,2163,1,0.0
488,2164,0,0.0
489,2170,0,0.0
490,2176,0,0.0
491,2179,0,0.0
492,2180,0,0.0
493,2185,0,0.0
494,2186,0,0.0
495,2192,0,0.0
496,2195,0,0.0
497,2209,0,0.0
498,2211,0,0.0
499,2214,0,0.0
500,2215,0,1.0
501,2222,0,0.0
502,2223,0,0.0
503,2225,0,0.0
504,2226,0,0.0
505,2229,1,1.0
506,2232,0,0.0
507,2235,0,0.0
508,2237,0,0.0
509,2244,0,0.0
510,2264,1,1.0
511,2267,0,0.0
512,2272,0,0.0
513,2277,0,0.0
514,2281,0,0.0
515,2285,0,0.0
516,2286,0,0.0
517,2289,0,1.0
518,2292,0,0.0
519,2297,0,0.0
520,2302,0,0.0
521,2303,0,0.0
522,2306,0,0.0
523,2307,0,0.0
524,2309,0,0.0
525,2312,0,0.0
526,2327,1,0.0
527,2331,0,0.0
528,2340,0,1.0
529,2341,0,0.0
530,2342,0,0.0
531,2343,0,0.0
532,2344,0,0.0
533,2346,0,0.0
534,2352,0,0.0
535,2353,0,0.0
536,2357,0,0.0
537,2359,0,0.0
538,2361,0,0.0
539,2362,0,0.0
540,2363,0,0.0
541,2365,0,0.0
542,2366,0,0.0
