,id,missing_people,missing_people_prediction
0,12,0,0.0
1,14,0,0.0
2,15,0,0.0
3,16,0,0.0
4,21,0,0.0
5,22,0,0.0
6,24,0,0.0
7,32,0,0.0
8,35,0,0.0
9,39,0,0.0
10,45,0,0.0
11,46,0,0.0
12,50,0,0.0
13,52,0,0.0
14,54,0,0.0
15,62,0,0.0
16,63,0,0.0
17,66,0,0.0
18,84,0,0.0
19,86,0,0.0
20,92,0,0.0
21,96,0,0.0
22,99,0,0.0
23,103,0,0.0
24,112,0,0.0
25,113,0,0.0
26,114,0,0.0
27,130,0,0.0
28,133,0,0.0
29,134,1,0.0
30,137,0,0.0
31,141,1,0.0
32,146,0,0.0
33,152,0,0.0
34,155,0,0.0
35,159,0,0.0
36,160,0,0.0
37,162,0,0.0
38,163,0,0.0
39,170,0,0.0
40,173,0,0.0
41,177,0,0.0
42,185,0,0.0
43,190,1,0.0
44,193,0,0.0
45,223,0,0.0
46,224,0,0.0
47,227,0,0.0
48,229,0,0.0
49,230,0,0.0
50,234,0,0.0
51,235,0,0.0
52,236,0,0.0
53,240,0,0.0
54,241,0,0.0
55,242,0,0.0
56,243,0,0.0
57,255,0,0.0
58,256,0,0.0
59,259,0,0.0
60,261,0,0.0
61,262,0,0.0
62,267,0,0.0
63,271,0,0.0
64,276,0,0.0
65,277,0,0.0
66,280,0,0.0
67,282,0,0.0
68,284,0,0.0
69,301,0,0.0
70,309,0,0.0
71,315,0,0.0
72,320,0,0.0
73,321,0,0.0
74,329,0,0.0
75,332,0,0.0
76,334,0,0.0
77,336,0,0.0
78,337,0,0.0
79,346,0,0.0
80,349,0,0.0
81,352,0,0.0
82,354,0,0.0
83,371,0,0.0
84,377,0,0.0
85,379,0,0.0
86,391,0,0.0
87,392,0,0.0
88,402,0,0.0
89,403,0,0.0
90,409,0,0.0
91,411,0,0.0
92,412,0,0.0
93,414,0,0.0
94,417,0,0.0
95,420,0,0.0
96,424,0,0.0
97,426,0,0.0
98,432,0,0.0
99,433,0,0.0
100,436,0,0.0
101,444,0,0.0
102,453,0,0.0
103,460,0,0.0
104,462,0,0.0
105,467,0,0.0
106,480,0,0.0
107,482,0,0.0
108,484,0,0.0
109,486,0,0.0
110,493,0,0.0
111,494,0,0.0
112,496,0,0.0
113,510,0,0.0
114,512,0,0.0
115,525,0,0.0
116,526,0,0.0
117,532,0,0.0
118,535,0,0.0
119,539,0,0.0
120,540,0,0.0
121,555,0,0.0
122,557,0,0.0
123,563,0,0.0
124,572,0,0.0
125,575,0,0.0
126,580,0,0.0
127,584,0,0.0
128,585,0,0.0
129,590,0,0.0
130,593,0,0.0
131,597,0,0.0
132,605,0,0.0
133,606,0,0.0
134,609,0,0.0
135,611,0,0.0
136,620,0,0.0
137,622,0,0.0
138,627,0,0.0
139,633,0,0.0
140,639,0,0.0
141,642,0,0.0
142,644,0,0.0
143,645,0,0.0
144,651,0,0.0
145,654,0,0.0
146,659,0,0.0
147,661,0,0.0
148,662,0,0.0
149,664,0,0.0
150,669,0,0.0
151,670,0,0.0
152,673,0,0.0
153,682,0,0.0
154,683,0,0.0
155,689,0,0.0
156,694,0,0.0
157,696,0,0.0
158,697,0,0.0
159,699,0,0.0
160,700,0,0.0
161,703,0,0.0
162,704,0,0.0
163,726,0,0.0
164,730,0,0.0
165,737,0,0.0
166,749,0,0.0
167,751,0,0.0
168,756,0,0.0
