,id,clothing,clothing_prediction
0,16,0,0.0
1,20,0,0.0
2,22,0,0.0
3,30,0,0.0
4,35,0,0.0
5,39,0,0.0
6,43,0,0.0
7,46,0,0.0
8,47,0,0.0
9,53,0,0.0
10,54,0,0.0
11,61,0,0.0
12,63,0,0.0
13,65,0,0.0
14,66,0,0.0
15,67,0,0.0
16,73,0,0.0
17,74,0,0.0
18,80,0,0.0
19,82,0,0.0
20,94,0,0.0
21,95,0,0.0
22,99,0,0.0
23,102,0,0.0
24,103,0,0.0
25,107,0,0.0
26,111,0,0.0
27,112,0,0.0
28,113,0,0.0
29,119,0,0.0
30,120,0,0.0
31,124,0,0.0
32,129,0,0.0
33,130,0,0.0
34,134,0,0.0
35,137,0,0.0
36,140,0,0.0
37,143,0,0.0
38,150,0,0.0
39,166,0,0.0
40,167,0,0.0
41,170,0,0.0
42,174,0,0.0
43,175,0,0.0
44,176,0,0.0
45,177,0,0.0
46,193,0,0.0
47,194,0,0.0
48,200,0,0.0
49,201,0,0.0
50,205,0,0.0
51,207,0,0.0
52,210,0,0.0
53,212,1,0.0
54,220,0,0.0
55,222,0,0.0
56,230,0,0.0
57,231,0,0.0
58,236,0,0.0
59,254,0,0.0
60,263,0,0.0
61,266,0,0.0
62,269,0,0.0
63,274,1,1.0
64,275,0,0.0
65,289,0,0.0
66,311,0,0.0
67,315,0,0.0
68,316,0,0.0
69,320,0,0.0
70,322,0,0.0
71,323,0,0.0
72,324,0,0.0
73,331,0,0.0
74,336,1,0.0
75,352,0,0.0
76,356,0,0.0
77,369,0,0.0
78,376,0,0.0
79,380,0,0.0
80,382,0,0.0
81,401,0,0.0
82,409,0,0.0
83,411,0,0.0
84,417,0,0.0
85,419,1,0.0
86,420,0,0.0
87,429,0,0.0
88,432,0,0.0
89,436,0,0.0
90,451,0,0.0
91,465,0,0.0
92,469,0,0.0
93,470,0,0.0
94,474,0,0.0
95,482,0,0.0
96,485,0,0.0
97,500,0,0.0
98,504,0,0.0
99,505,0,0.0
100,507,0,0.0
101,512,0,0.0
102,524,0,0.0
103,530,0,0.0
104,531,0,0.0
105,535,0,0.0
106,541,0,0.0
107,542,0,0.0
108,543,0,0.0
109,544,0,0.0
110,547,1,0.0
111,549,0,0.0
112,553,0,0.0
113,559,0,0.0
114,563,0,0.0
115,566,0,0.0
116,572,0,0.0
117,574,0,0.0
118,583,0,0.0
119,591,0,0.0
120,593,0,0.0
121,600,0,0.0
122,603,0,0.0
123,613,0,0.0
124,619,0,0.0
125,623,0,0.0
126,625,0,0.0
127,626,0,0.0
128,629,0,0.0
129,630,0,0.0
130,635,0,0.0
131,636,0,0.0
132,639,0,0.0
133,641,0,0.0
134,644,0,0.0
135,655,0,0.0
136,666,0,0.0
137,670,0,0.0
138,676,0,0.0
139,679,0,0.0
140,680,0,0.0
141,681,0,0.0
142,682,0,0.0
143,683,0,0.0
144,687,0,0.0
145,690,0,0.0
146,696,0,0.0
147,705,0,0.0
148,706,0,0.0
149,709,0,0.0
150,712,0,0.0
151,719,0,0.0
152,726,0,0.0
153,731,0,0.0
154,733,0,0.0
155,736,0,0.0
156,737,0,0.0
157,740,0,0.0
158,741,0,0.0
159,749,0,0.0
160,751,0,0.0
161,752,0,0.0
162,757,0,0.0
163,771,0,0.0
164,772,0,0.0
165,775,0,0.0
166,784,0,0.0
167,789,0,0.0
168,791,0,0.0
169,793,0,0.0
170,797,0,0.0
171,799,0,0.0
172,800,0,0.0
173,807,0,0.0
174,809,0,0.0
175,810,0,0.0
176,813,0,0.0
177,820,0,0.0
178,821,0,0.0
179,822,0,0.0
180,827,0,0.0
181,829,0,0.0
182,832,0,0.0
183,835,0,0.0
184,841,0,0.0
185,843,0,0.0
186,847,0,0.0
187,851,0,0.0
188,853,0,0.0
189,856,0,0.0
