,id,earthquake,earthquake_prediction
0,17,0,0.0
1,20,0,0.0
2,42,0,0.0
3,44,0,0.0
4,50,0,0.0
5,54,0,0.0
6,62,0,0.0
7,64,0,0.0
8,65,0,0.0
9,71,0,0.0
10,79,0,0.0
11,80,0,0.0
12,81,0,0.0
13,82,0,0.0
14,90,0,0.0
15,91,0,0.0
16,92,0,0.0
17,97,0,0.0
18,99,0,0.0
19,100,0,0.0
20,102,0,0.0
21,110,0,0.0
22,114,0,0.0
23,115,0,0.0
24,132,0,0.0
25,136,0,0.0
26,140,0,0.0
27,147,0,0.0
28,149,0,0.0
29,153,0,0.0
30,154,0,0.0
31,155,0,0.0
32,157,0,0.0
33,163,0,0.0
34,167,0,0.0
35,172,0,0.0
36,174,0,0.0
37,187,0,0.0
38,201,1,0.0
39,204,0,0.0
40,212,0,0.0
41,213,0,0.0
42,219,0,0.0
43,222,0,0.0
44,223,0,0.0
45,224,0,0.0
46,225,0,0.0
47,226,0,0.0
48,229,0,0.0
49,235,0,0.0
50,239,0,0.0
51,242,0,0.0
52,247,0,0.0
53,249,0,0.0
54,253,0,0.0
55,255,0,0.0
56,256,0,0.0
57,260,0,1.0
58,263,0,0.0
59,269,0,0.0
60,271,0,0.0
61,273,0,0.0
62,276,0,0.0
63,277,0,0.0
64,281,0,0.0
65,293,0,0.0
66,301,0,0.0
67,306,0,0.0
68,316,0,0.0
69,317,0,0.0
70,319,0,0.0
71,321,0,0.0
72,324,0,0.0
73,329,0,0.0
74,334,0,0.0
75,349,0,0.0
76,351,0,0.0
77,371,0,1.0
78,377,0,0.0
79,379,0,0.0
80,380,0,0.0
81,381,0,0.0
82,389,0,0.0
83,395,0,0.0
84,399,0,0.0
85,411,0,0.0
86,425,0,0.0
87,429,0,0.0
88,433,1,0.0
89,443,0,0.0
90,451,1,0.0
91,455,0,0.0
92,460,0,0.0
93,461,0,0.0
94,462,0,0.0
95,463,0,0.0
96,479,0,0.0
97,480,0,0.0
98,481,0,0.0
99,482,0,0.0
100,493,0,0.0
101,494,0,0.0
102,497,0,0.0
103,505,0,0.0
104,513,0,0.0
105,515,0,0.0
106,519,0,0.0
107,522,1,0.0
108,525,0,0.0
109,531,0,0.0
110,536,0,0.0
111,539,0,0.0
112,541,0,0.0
113,549,0,0.0
114,551,0,0.0
115,552,0,0.0
116,561,0,0.0
117,562,0,0.0
118,564,0,0.0
119,569,0,0.0
120,571,0,0.0
121,577,0,0.0
122,583,0,0.0
123,587,0,0.0
124,592,0,0.0
125,595,0,0.0
126,596,0,0.0
127,602,0,0.0
128,605,0,0.0
129,609,0,0.0
130,611,0,0.0
131,612,0,0.0
132,614,0,0.0
133,624,0,0.0
134,634,0,0.0
135,635,0,0.0
136,643,0,0.0
137,645,0,0.0
138,659,0,0.0
139,673,0,0.0
140,676,0,0.0
141,680,0,0.0
142,681,0,0.0
143,685,0,0.0
144,687,0,0.0
145,692,0,0.0
146,694,0,0.0
147,700,0,1.0
148,719,0,0.0
149,727,0,0.0
150,734,1,0.0
151,742,0,0.0
152,751,0,0.0
153,759,0,0.0
154,761,0,0.0
155,774,0,0.0
156,777,0,0.0
157,781,0,0.0
158,784,0,0.0
159,790,0,0.0
160,791,0,0.0
161,792,0,0.0
162,794,0,0.0
163,795,0,0.0
164,796,0,0.0
165,800,0,0.0
166,804,0,1.0
167,804,0,1.0
168,810,0,0.0
169,812,0,0.0
170,815,0,0.0
171,816,0,0.0
172,819,1,0.0
173,829,0,0.0
174,835,0,0.0
175,843,0,0.0
176,854,0,0.0
177,864,0,0.0
178,866,0,0.0
179,869,0,0.0
180,871,0,0.0
181,874,0,0.0
182,875,0,0.0
183,880,0,0.0
184,891,0,0.0
185,893,0,0.0
186,896,0,0.0
187,902,1,0.0
188,904,0,0.0
189,905,0,0.0
190,909,0,0.0
191,911,0,0.0
192,916,0,0.0
193,917,0,0.0
194,921,0,0.0
195,926,0,0.0
196,932,0,0.0
197,939,0,0.0
198,947,0,0.0
199,951,0,0.0
200,963,0,0.0
201,966,0,0.0
202,967,0,0.0
203,970,0,0.0
204,971,0,0.0
205,975,0,0.0
206,979,0,0.0
207,987,0,0.0
208,989,0,0.0
209,992,0,0.0
210,1000,0,0.0
211,1006,0,0.0
212,1009,0,0.0
213,1019,0,0.0
214,1021,0,0.0
215,1022,0,0.0
216,1024,0,0.0
217,1026,0,0.0
218,1030,0,0.0
219,1037,1,0.0
220,1040,1,0.0
221,1043,0,0.0
222,1044,0,0.0
223,1052,0,0.0
224,1056,0,0.0
225,1065,0,0.0
226,1066,0,0.0
227,1076,0,0.0
228,1079,0,0.0
229,1086,0,0.0
230,1089,0,0.0
231,1090,0,0.0
232,1092,0,0.0
233,1094,0,0.0
234,1095,0,0.0
235,1096,0,0.0
236,1099,0,0.0
237,1103,0,0.0
238,1110,0,0.0
239,1115,0,0.0
240,1121,0,0.0
241,1122,0,0.0
242,1125,1,0.0
243,1135,0,0.0
244,1142,0,0.0
245,1144,0,0.0
246,1145,0,0.0
247,1147,0,0.0
248,1157,0,0.0
249,1160,0,0.0
250,1171,0,0.0
251,1172,0,0.0
252,1177,0,0.0
253,1179,0,0.0
254,1183,0,0.0
255,1189,0,0.0
256,1193,0,0.0
257,1204,0,0.0
258,1207,0,0.0
259,1209,0,0.0
260,1215,0,0.0
261,1219,0,0.0
262,1225,0,0.0
263,1229,0,0.0
264,1239,0,0.0
265,1243,0,0.0
266,1249,0,0.0
267,1250,0,0.0
268,1251,0,0.0
269,1260,0,0.0
270,1264,0,0.0
271,1265,0,0.0
272,1267,0,0.0
273,1275,0,0.0
