,id,money,money_prediction
0,2,0,0.0
1,12,0,0.0
2,20,0,0.0
3,24,0,0.0
4,36,0,0.0
5,41,0,0.0
6,44,0,0.0
7,46,0,0.0
8,61,0,0.0
9,62,0,0.0
10,63,0,0.0
11,65,0,0.0
12,71,0,0.0
13,74,0,0.0
14,84,0,0.0
15,86,0,0.0
16,90,0,0.0
17,91,0,0.0
18,97,0,0.0
19,99,0,0.0
20,100,0,0.0
21,117,0,0.0
22,119,0,0.0
23,124,0,0.0
24,126,0,0.0
25,129,0,0.0
26,132,0,0.0
27,134,0,0.0
28,141,1,0.0
29,150,0,0.0
30,161,0,0.0
31,166,0,0.0
32,171,0,0.0
33,173,0,0.0
34,174,0,0.0
35,176,0,0.0
36,181,0,0.0
37,182,0,0.0
38,185,0,0.0
39,190,0,0.0
40,191,1,0.0
41,199,0,0.0
42,202,0,0.0
43,206,0,0.0
44,212,0,0.0
45,215,0,0.0
46,216,0,0.0
47,225,0,0.0
48,241,0,0.0
49,247,0,0.0
50,249,0,0.0
51,251,0,0.0
52,254,0,0.0
53,266,0,0.0
54,274,0,0.0
55,275,1,0.0
56,283,0,0.0
57,293,0,0.0
58,294,0,0.0
59,302,1,0.0
60,306,0,0.0
61,307,0,0.0
62,312,0,0.0
63,315,0,0.0
64,316,0,0.0
65,326,0,0.0
66,332,0,0.0
67,333,0,0.0
68,336,0,0.0
69,345,0,0.0
70,354,0,0.0
71,356,0,0.0
72,369,0,0.0
73,371,0,0.0
74,375,0,0.0
75,382,0,0.0
76,399,0,0.0
77,401,0,0.0
78,409,0,0.0
79,414,0,0.0
80,417,0,0.0
81,419,1,0.0
82,429,0,0.0
83,431,0,0.0
84,432,0,0.0
85,435,0,0.0
86,444,0,0.0
87,456,0,0.0
88,462,0,0.0
89,467,0,0.0
90,479,0,0.0
91,480,0,0.0
92,491,0,0.0
93,496,0,0.0
94,505,0,0.0
95,507,0,0.0
96,511,0,0.0
97,513,0,0.0
98,517,0,0.0
99,519,0,0.0
100,523,0,0.0
101,524,0,0.0
102,525,0,0.0
103,527,0,0.0
104,529,0,0.0
105,530,0,0.0
106,531,0,0.0
107,542,0,0.0
108,544,0,0.0
109,553,0,0.0
110,559,0,0.0
111,561,0,0.0
112,566,0,0.0
113,572,0,0.0
114,576,0,0.0
115,577,0,0.0
116,580,0,0.0
117,582,0,0.0
118,583,0,0.0
119,584,0,0.0
120,590,0,0.0
121,591,0,0.0
122,593,0,0.0
123,596,0,0.0
124,597,0,0.0
125,602,0,0.0
126,610,0,0.0
127,623,0,0.0
128,626,0,0.0
129,634,0,0.0
130,637,0,0.0
131,641,0,0.0
132,645,0,0.0
133,649,0,0.0
134,651,0,0.0
135,653,0,0.0
136,660,0,0.0
137,661,0,0.0
138,662,0,0.0
139,666,0,0.0
140,667,0,0.0
141,674,0,0.0
142,683,0,0.0
143,685,0,0.0
144,686,0,0.0
145,691,0,0.0
146,692,0,0.0
147,694,0,0.0
148,697,1,0.0
149,700,0,0.0
150,701,0,0.0
151,706,0,0.0
152,710,0,0.0
153,711,0,0.0
154,712,0,0.0
155,715,0,0.0
156,721,0,0.0
157,727,0,0.0
158,729,0,0.0
159,731,0,0.0
160,735,0,0.0
161,742,0,0.0
162,743,0,0.0
163,745,0,0.0
164,750,0,0.0
165,763,0,0.0
166,765,0,0.0
167,770,0,0.0
168,771,0,0.0
169,774,0,0.0
170,775,0,0.0
171,776,0,0.0
172,782,0,0.0
173,785,0,0.0
174,786,0,0.0
175,791,0,0.0
176,792,1,0.0
177,799,0,0.0
178,800,0,0.0
179,804,0,0.0
180,809,0,0.0
181,810,0,0.0
182,811,0,0.0
183,817,0,0.0
184,821,0,0.0
185,827,0,0.0
186,830,0,0.0
187,835,0,0.0
188,839,0,0.0
189,840,0,0.0
190,849,0,0.0
191,860,0,0.0
192,872,0,0.0
193,874,0,0.0
194,876,0,0.0
195,885,0,0.0
196,891,0,0.0
197,892,0,0.0
198,896,0,0.0
199,897,0,0.0
200,899,0,0.0
201,911,0,0.0
202,912,0,0.0
203,923,0,0.0
204,931,0,0.0
205,935,0,0.0
206,945,0,0.0
207,949,0,0.0
208,955,0,0.0
209,957,0,0.0
210,960,0,0.0
211,962,0,0.0
212,964,0,0.0
213,965,0,0.0
214,966,0,0.0
215,970,0,0.0
216,973,0,0.0
217,974,0,0.0
218,975,0,0.0
219,986,0,0.0
220,990,0,0.0
221,991,0,0.0
222,1006,0,0.0
223,1014,0,0.0
224,1016,0,0.0
225,1023,0,0.0
226,1025,0,0.0
227,1031,0,0.0
228,1033,0,0.0
229,1046,0,0.0
230,1062,0,0.0
231,1063,0,0.0
232,1069,0,0.0
