,id,fire,fire_prediction
0,9,0,0.0
1,24,0,0.0
2,25,0,0.0
3,31,0,0.0
4,45,0,0.0
5,51,0,0.0
6,52,0,0.0
7,54,0,0.0
8,56,0,0.0
9,61,0,0.0
10,64,0,0.0
11,74,0,0.0
12,79,0,0.0
13,90,0,0.0
14,92,0,0.0
15,101,0,0.0
16,107,0,0.0
17,115,0,0.0
18,117,0,0.0
19,122,0,0.0
20,124,0,0.0
21,143,0,0.0
22,147,0,0.0
23,151,0,0.0
24,152,0,0.0
25,156,0,0.0
26,157,0,0.0
27,162,0,0.0
28,164,0,0.0
29,165,0,0.0
30,173,0,0.0
31,175,0,0.0
32,195,0,0.0
33,202,0,0.0
34,206,0,0.0
35,213,0,0.0
36,221,0,0.0
37,231,0,0.0
38,235,0,0.0
39,240,0,0.0
40,241,0,0.0
41,246,0,0.0
42,249,0,0.0
43,254,0,0.0
44,256,0,0.0
45,261,0,0.0
46,262,0,0.0
47,267,0,0.0
48,269,0,0.0
49,273,0,0.0
50,274,0,0.0
51,280,0,0.0
52,284,0,0.0
53,289,0,0.0
54,291,0,0.0
55,302,0,0.0
56,304,0,0.0
57,313,0,0.0
58,316,0,0.0
59,319,0,0.0
60,323,0,0.0
61,326,0,0.0
62,333,0,0.0
63,336,0,0.0
64,337,0,0.0
65,352,0,0.0
66,354,0,0.0
67,362,0,0.0
68,367,0,0.0
69,371,0,0.0
70,373,0,0.0
71,375,0,0.0
72,379,0,0.0
73,393,0,0.0
74,396,0,0.0
75,400,0,0.0
76,403,0,0.0
77,404,0,0.0
78,409,0,0.0
79,414,0,0.0
80,417,0,0.0
81,419,0,0.0
82,429,0,0.0
83,436,0,0.0
84,437,0,0.0
85,447,0,0.0
86,456,0,0.0
87,460,0,0.0
88,462,0,0.0
89,466,0,0.0
90,469,0,0.0
91,481,0,0.0
92,484,0,0.0
93,485,0,0.0
94,491,0,0.0
95,493,0,0.0
96,496,0,0.0
97,504,0,0.0
98,512,0,0.0
99,516,0,0.0
100,520,0,0.0
101,525,0,0.0
102,533,0,0.0
103,534,0,0.0
104,536,0,0.0
105,539,0,0.0
106,543,0,0.0
107,554,0,0.0
108,555,0,0.0
109,564,0,0.0
110,565,0,0.0
111,569,0,0.0
112,583,0,0.0
113,584,0,0.0
114,599,0,0.0
115,600,0,0.0
116,603,0,0.0
117,605,0,0.0
118,615,0,0.0
119,617,0,0.0
120,624,0,0.0
121,635,0,0.0
122,636,0,0.0
123,637,0,0.0
124,644,0,0.0
125,645,0,0.0
126,647,0,0.0
127,653,0,0.0
128,654,0,0.0
129,657,0,0.0
130,660,0,0.0
131,663,0,0.0
132,666,0,0.0
133,673,0,0.0
134,680,0,0.0
135,682,0,0.0
136,687,0,0.0
137,690,0,0.0
138,694,0,0.0
139,697,0,0.0
140,701,0,0.0
141,703,0,0.0
142,705,0,0.0
143,706,0,0.0
144,727,0,0.0
145,729,0,0.0
146,731,0,0.0
147,737,0,0.0
148,740,0,0.0
149,752,0,0.0
150,757,0,0.0
151,761,0,0.0
152,767,0,0.0
153,770,0,0.0
154,775,0,0.0
155,781,0,0.0
156,784,0,0.0
157,786,0,0.0
158,790,0,0.0
159,795,0,0.0
160,797,0,0.0
161,800,0,0.0
162,802,0,0.0
163,806,0,0.0
164,810,0,0.0
165,813,0,0.0
166,816,0,0.0
167,820,0,0.0
168,825,0,0.0
169,829,0,0.0
170,831,0,0.0
171,833,0,0.0
172,834,0,0.0
173,835,0,0.0
174,843,0,0.0
175,850,0,0.0
176,856,0,0.0
177,859,0,0.0
178,860,0,0.0
179,862,0,0.0
180,862,0,0.0
181,863,0,0.0
182,864,0,0.0
183,869,0,0.0
184,872,0,0.0
185,876,0,0.0
186,880,0,0.0
187,881,0,0.0
188,882,0,0.0
189,892,0,0.0
190,893,0,0.0
191,895,0,0.0
192,907,0,0.0
193,912,0,0.0
194,917,0,0.0
195,921,0,0.0
196,927,0,0.0
197,930,0,0.0
198,936,0,0.0
199,940,0,0.0
200,947,0,0.0
201,949,0,0.0
202,951,0,0.0
203,957,0,0.0
204,964,0,0.0
205,971,0,0.0
206,973,0,0.0
207,974,0,0.0
208,976,0,0.0
209,981,0,0.0
210,987,0,0.0
211,990,0,0.0
212,992,0,0.0
213,996,0,0.0
214,997,0,0.0
215,1001,0,0.0
216,1002,0,0.0
217,1005,0,0.0
218,1006,0,0.0
219,1012,0,0.0
220,1013,0,0.0
221,1017,0,0.0
222,1020,0,0.0
223,1023,0,0.0
224,1024,0,0.0
225,1025,0,0.0
226,1026,0,0.0
227,1027,0,0.0
228,1033,0,0.0
229,1036,0,0.0
230,1043,0,0.0
231,1044,0,0.0
232,1046,0,0.0
233,1047,0,0.0
234,1049,0,0.0
235,1052,0,0.0
236,1055,0,0.0
237,1063,0,0.0
238,1066,0,0.0
239,1067,0,0.0
240,1077,0,0.0
241,1081,0,0.0
242,1090,0,0.0
243,1094,0,0.0
244,1096,0,0.0
245,1101,0,0.0
246,1107,0,0.0
247,1109,0,0.0
248,1111,0,0.0
249,1124,0,0.0
250,1126,0,0.0
251,1129,0,0.0
252,1133,0,0.0
253,1142,0,0.0
254,1146,0,0.0
255,1149,0,0.0
256,1150,0,0.0
257,1153,0,0.0
258,1176,0,0.0
259,1183,0,0.0
260,1189,0,0.0
261,1191,0,0.0
262,1192,0,0.0
263,1196,0,0.0
264,1197,0,0.0
265,1199,0,0.0
266,1204,0,0.0
267,1207,0,0.0
268,1210,0,0.0
269,1211,0,0.0
270,1217,0,0.0
271,1219,0,0.0
272,1221,0,0.0
273,1223,0,0.0
274,1232,0,0.0
275,1234,0,0.0
276,1235,0,0.0
277,1237,0,0.0
278,1253,0,0.0
279,1259,0,0.0
280,1260,0,0.0
281,1262,0,0.0
282,1266,0,0.0
283,1270,0,0.0
284,1271,0,0.0
285,1276,0,0.0
286,1284,0,0.0
287,1286,0,0.0
288,1287,0,0.0
289,1304,0,0.0
290,1309,0,0.0
291,1314,0,0.0
292,1316,0,0.0
293,1322,0,0.0
294,1325,0,0.0
295,1330,0,0.0
296,1332,0,0.0
297,1333,0,0.0
298,1339,0,0.0
299,1340,0,0.0
300,1351,0,0.0
301,1353,0,0.0
302,1357,0,0.0
303,1363,0,0.0
304,1364,0,0.0
305,1365,0,0.0
306,1366,0,0.0
307,1373,0,0.0
308,1375,0,0.0
309,1376,0,0.0
310,1380,0,0.0
311,1383,0,0.0
312,1384,0,0.0
313,1385,0,0.0
314,1392,0,0.0
315,1397,0,0.0
316,1400,0,0.0
317,1402,0,0.0
318,1405,0,0.0
319,1413,0,0.0
320,1415,0,0.0
321,1417,0,0.0
322,1420,0,0.0
323,1422,0,0.0
324,1425,0,0.0
325,1427,0,0.0
326,1432,0,0.0
