,id,military,military_prediction
0,2,0,0.0
1,7,0,0.0
2,32,0,0.0
3,35,0,0.0
4,39,0,0.0
5,41,0,0.0
6,43,0,0.0
7,45,0,0.0
8,47,0,0.0
9,49,0,0.0
10,54,0,0.0
11,60,0,0.0
12,62,0,0.0
13,63,0,0.0
14,66,0,0.0
15,70,0,0.0
16,82,0,0.0
17,90,0,0.0
18,94,0,0.0
19,97,0,0.0
20,99,0,0.0
21,106,0,0.0
22,112,0,0.0
23,115,0,0.0
24,120,0,0.0
25,127,0,0.0
26,132,0,0.0
27,136,0,0.0
28,137,0,0.0
29,139,0,0.0
30,144,0,0.0
31,154,0,0.0
32,156,0,0.0
33,163,0,0.0
34,164,0,0.0
35,165,0,0.0
36,166,0,0.0
37,175,0,0.0
38,182,0,0.0
39,183,0,0.0
40,185,0,0.0
41,202,0,0.0
42,202,0,0.0
43,204,0,0.0
44,206,0,0.0
45,210,0,0.0
46,214,0,0.0
47,219,0,0.0
48,225,0,0.0
49,230,0,0.0
50,233,0,0.0
51,234,0,0.0
52,239,0,0.0
53,246,0,0.0
54,250,0,0.0
55,261,0,0.0
56,279,0,0.0
57,282,0,0.0
58,294,0,0.0
59,296,0,0.0
60,303,0,0.0
61,304,0,0.0
62,309,0,0.0
63,316,0,0.0
64,326,0,0.0
65,351,0,0.0
66,354,0,0.0
67,372,0,0.0
68,377,0,0.0
69,380,0,0.0
70,384,0,0.0
71,389,0,0.0
72,393,0,0.0
73,395,0,0.0
74,405,0,0.0
75,407,0,0.0
76,410,0,0.0
77,412,0,0.0
78,414,0,0.0
79,417,0,0.0
80,423,0,0.0
81,425,0,0.0
82,431,0,0.0
83,432,0,0.0
84,443,0,0.0
85,456,0,0.0
86,460,0,0.0
87,461,0,0.0
88,463,0,0.0
89,466,0,0.0
90,482,0,0.0
91,483,0,0.0
92,487,0,0.0
93,513,0,0.0
94,517,0,0.0
95,527,0,0.0
96,543,0,0.0
97,544,0,0.0
98,549,0,0.0
99,550,0,0.0
100,553,0,0.0
101,554,0,0.0
102,555,0,0.0
103,564,0,0.0
104,569,0,0.0
105,574,0,0.0
106,580,0,0.0
107,583,0,0.0
108,587,0,0.0
109,594,0,0.0
110,595,0,0.0
111,599,0,0.0
112,603,0,0.0
113,606,0,0.0
114,611,0,0.0
115,612,0,0.0
116,615,0,0.0
117,619,0,0.0
118,621,0,0.0
119,625,0,0.0
120,627,0,0.0
121,631,0,0.0
122,640,0,0.0
123,643,0,0.0
124,651,0,0.0
125,653,0,0.0
126,654,0,0.0
127,656,0,0.0
128,660,0,0.0
129,664,0,0.0
130,676,0,0.0
131,681,0,0.0
132,682,0,0.0
133,685,0,0.0
134,687,0,0.0
135,690,0,0.0
136,691,0,0.0
137,695,0,0.0
138,700,0,0.0
139,704,0,0.0
140,705,0,0.0
141,714,0,0.0
142,719,0,0.0
143,729,0,0.0
144,734,0,0.0
145,741,0,0.0
146,743,0,0.0
147,749,0,0.0
148,756,0,0.0
149,759,0,0.0
150,762,0,0.0
151,776,0,0.0
152,781,0,0.0
153,783,0,0.0
154,784,0,0.0
155,786,0,0.0
156,793,0,0.0
157,799,0,0.0
158,801,0,0.0
159,804,0,1.0
160,804,0,1.0
161,805,0,0.0
162,807,0,0.0
163,812,0,0.0
164,813,0,0.0
165,822,0,0.0
166,823,0,0.0
167,826,0,0.0
168,832,0,0.0
169,834,0,0.0
170,837,0,0.0
171,841,0,0.0
172,843,0,0.0
173,851,0,0.0
174,854,0,0.0
175,856,0,0.0
176,861,0,0.0
177,862,0,0.0
178,866,0,0.0
179,867,0,0.0
180,872,0,0.0
181,873,0,0.0
182,875,0,0.0
183,881,0,0.0
184,897,0,0.0
185,904,0,0.0
186,916,0,0.0
187,923,0,0.0
188,924,0,0.0
189,926,0,0.0
190,930,0,0.0
191,932,0,0.0
192,933,0,0.0
193,936,0,0.0
194,937,0,0.0
195,939,0,0.0
196,942,0,0.0
197,943,0,0.0
198,946,0,0.0
199,947,0,0.0
200,957,0,0.0
201,959,0,0.0
202,963,0,0.0
203,964,0,0.0
204,966,0,0.0
205,967,0,0.0
206,972,0,0.0
207,979,0,0.0
208,981,0,0.0
209,984,0,0.0
210,986,0,0.0
211,991,0,0.0
212,992,0,0.0
213,995,0,0.0
214,997,0,0.0
215,1000,0,0.0
216,1004,0,0.0
217,1006,0,0.0
218,1010,0,0.0
219,1011,0,0.0
220,1013,0,0.0
221,1014,0,0.0
222,1015,0,0.0
223,1016,0,0.0
224,1022,0,0.0
225,1024,0,0.0
226,1027,0,0.0
227,1030,0,0.0
228,1055,0,0.0
229,1057,0,0.0
230,1061,0,0.0
231,1069,0,0.0
232,1070,0,0.0
233,1074,0,0.0
234,1079,0,0.0
235,1080,0,0.0
236,1084,0,0.0
237,1092,0,0.0
238,1096,0,0.0
239,1097,0,0.0
240,1099,0,0.0
241,1103,0,0.0
242,1106,0,0.0
243,1113,0,0.0
244,1115,0,0.0
245,1121,0,0.0
246,1124,0,0.0
247,1125,0,0.0
248,1126,0,0.0
249,1130,0,0.0
250,1131,0,0.0
251,1135,0,0.0
252,1136,0,0.0
253,1142,0,0.0
254,1144,0,0.0
255,1150,0,0.0
256,1153,0,0.0
257,1156,0,0.0
258,1165,0,0.0
259,1175,0,0.0
260,1177,0,0.0
261,1189,0,0.0
262,1193,0,0.0
263,1195,0,0.0
264,1196,0,0.0
265,1200,0,0.0
266,1206,0,0.0
267,1219,0,0.0
268,1221,0,0.0
269,1229,0,0.0
270,1234,0,0.0
271,1239,0,0.0
272,1241,0,0.0
273,1244,0,0.0
274,1249,0,0.0
275,1250,0,0.0
276,1253,0,0.0
277,1257,0,0.0
278,1260,0,0.0
279,1262,0,0.0
280,1265,0,0.0
281,1280,0,0.0
282,1286,0,0.0
283,1289,0,0.0
284,1301,0,0.0
285,1304,0,0.0
286,1313,0,0.0
287,1314,0,0.0
288,1320,0,0.0
289,1323,0,0.0
290,1329,0,0.0
291,1332,0,0.0
292,1340,0,0.0
293,1346,0,0.0
294,1353,0,0.0
295,1355,0,0.0
296,1356,0,0.0
297,1365,0,0.0
298,1366,0,0.0
299,1370,0,0.0
300,1372,0,0.0
301,1379,0,0.0
302,1380,0,0.0
303,1385,0,0.0
304,1390,0,0.0
305,1391,0,0.0
306,1392,0,0.0
307,1394,0,0.0
308,1400,0,0.0
309,1401,0,0.0
310,1405,0,0.0
311,1410,0,0.0
312,1412,0,0.0
313,1413,0,0.0
314,1415,0,0.0
315,1417,0,0.0
316,1434,0,0.0
317,1437,0,0.0
318,1439,0,0.0
319,1444,0,0.0
320,1445,0,0.0
321,1446,0,0.0
322,1451,0,0.0
323,1456,0,0.0
324,1457,0,0.0
325,1461,0,0.0
326,1462,0,0.0
327,1463,0,0.0
328,1465,0,0.0
329,1466,0,0.0
330,1469,0,0.0
331,1471,0,0.0
332,1474,0,0.0
333,1483,0,0.0
334,1484,0,0.0
335,1486,0,0.0
336,1495,0,0.0
337,1497,0,0.0
338,1500,0,0.0
339,1502,0,0.0
340,1507,0,0.0
341,1510,0,0.0
342,1512,0,0.0
343,1514,0,0.0
344,1517,0,0.0
345,1520,0,0.0
346,1526,0,0.0
347,1527,0,0.0
348,1533,0,0.0
349,1539,1,0.0
350,1543,0,0.0
351,1547,0,0.0
352,1552,0,0.0
353,1554,0,0.0
354,1560,0,0.0
355,1562,0,0.0
356,1564,0,0.0
357,1567,0,0.0
358,1574,0,0.0
359,1581,0,0.0
360,1582,0,0.0
361,1591,0,0.0
362,1609,0,0.0
363,1610,0,0.0
364,1615,0,0.0
365,1616,0,0.0
366,1626,0,0.0
367,1632,0,0.0
368,1633,0,0.0
369,1637,0,0.0
370,1640,0,0.0
371,1645,0,0.0
372,1646,0,0.0
373,1649,0,0.0
374,1650,0,0.0
375,1652,0,0.0
376,1653,0,0.0
377,1654,0,0.0
378,1656,0,0.0
379,1664,0,0.0
380,1665,0,0.0
381,1669,0,0.0
382,1672,0,0.0
383,1675,0,0.0
384,1676,0,0.0
385,1679,0,0.0
386,1682,0,0.0
387,1683,0,0.0
388,1684,0,0.0
389,1685,0,0.0
390,1686,0,0.0
391,1689,0,0.0
392,1690,0,0.0
393,1691,0,0.0
394,1697,0,0.0
395,1699,0,0.0
396,1704,0,0.0
397,1706,0,0.0
398,1709,0,0.0
399,1712,0,0.0
400,1715,0,0.0
401,1722,0,0.0
402,1726,0,0.0
403,1729,0,0.0
404,1731,0,0.0
405,1739,0,0.0
406,1749,0,0.0
407,1751,0,0.0
408,1753,0,0.0
409,1754,0,0.0
410,1756,0,0.0
411,1761,0,0.0
412,1764,0,0.0
413,1767,0,0.0
414,1772,0,0.0
415,1773,0,0.0
416,1783,0,0.0
417,1786,0,0.0
418,1787,0,0.0
419,1790,0,0.0
420,1791,0,0.0
421,1800,0,0.0
422,1804,0,0.0
423,1805,0,0.0
424,1806,0,0.0
425,1817,0,0.0
426,1822,0,0.0
427,1825,0,0.0
428,1827,0,0.0
429,1831,0,0.0
430,1837,0,0.0
431,1839,0,0.0
432,1841,0,0.0
433,1843,0,0.0
434,1850,0,0.0
435,1854,0,0.0
436,1861,0,0.0
437,1873,0,0.0
438,1882,0,0.0
439,1883,0,0.0
440,1884,0,0.0
441,1885,0,0.0
442,1887,0,0.0
443,1900,0,0.0
444,1901,0,0.0
445,1902,0,0.0
446,1903,0,0.0
447,1917,0,0.0
448,1922,0,0.0
449,1923,0,0.0
450,1941,0,0.0
451,1945,0,0.0
452,1946,0,0.0
453,1950,0,0.0
454,1952,0,0.0
455,1960,1,0.0
456,1975,0,0.0
457,1976,0,0.0
458,1977,0,0.0
459,1981,0,0.0
460,1983,0,0.0
461,1984,0,0.0
462,1985,0,0.0
463,1995,0,0.0
464,1999,0,0.0
465,2001,0,0.0
466,2012,0,0.0
467,2019,0,0.0
468,2021,0,0.0
469,2024,0,0.0
470,2027,0,0.0
471,2030,0,0.0
472,2032,0,0.0
473,2034,0,0.0
474,2037,0,0.0
475,2039,0,0.0
476,2041,0,0.0
477,2044,0,0.0
478,2053,0,0.0
479,2054,0,0.0
480,2056,0,0.0
481,2060,0,0.0
482,2062,0,0.0
483,2064,0,0.0
484,2070,0,0.0
485,2076,0,0.0
486,2083,0,0.0
487,2093,0,0.0
488,2096,0,0.0
489,2102,0,0.0
490,2103,0,0.0
491,2104,0,0.0
492,2105,0,0.0
493,2110,0,0.0
494,2115,0,0.0
495,2123,0,0.0
496,2124,0,0.0
497,2126,0,0.0
498,2131,0,0.0
499,2132,0,0.0
500,2133,0,0.0
501,2134,0,0.0
502,2141,0,0.0
503,2142,0,0.0
504,2143,0,0.0
505,2144,0,0.0
506,2152,0,0.0
507,2155,0,0.0
508,2164,0,0.0
509,2165,0,0.0
510,2173,0,0.0
511,2174,0,0.0
512,2182,0,0.0
513,2190,0,0.0
514,2197,0,0.0
515,2200,0,0.0
516,2202,0,0.0
517,2205,0,0.0
518,2207,0,0.0
519,2212,0,0.0
520,2214,0,0.0
521,2215,0,0.0
522,2219,0,0.0
523,2221,0,0.0
524,2233,0,0.0
525,2239,0,0.0
526,2242,0,0.0
527,2261,0,0.0
528,2269,0,0.0
529,2270,0,0.0
530,2271,0,0.0
531,2285,0,0.0
532,2289,0,0.0
533,2290,0,0.0
534,2297,0,0.0
535,2300,0,0.0
536,2301,0,0.0
537,2303,0,0.0
538,2312,0,0.0
539,2315,0,0.0
540,2321,0,0.0
541,2326,0,0.0
542,2330,0,0.0
543,2331,0,0.0
544,2344,0,0.0
