,id,other_weather,other_weather_prediction
0,7,0,0.0
1,9,0,0.0
2,12,0,0.0
3,15,0,0.0
4,17,0,0.0
5,21,0,0.0
6,25,0,0.0
7,33,0,0.0
8,34,0,0.0
9,36,0,0.0
10,37,0,0.0
11,46,0,0.0
12,47,0,0.0
13,61,0,0.0
14,64,0,0.0
15,65,0,0.0
16,66,0,0.0
17,79,0,0.0
18,82,0,0.0
19,85,0,0.0
20,92,0,0.0
21,112,0,0.0
22,114,0,0.0
23,120,0,0.0
24,122,0,0.0
25,139,0,0.0
26,149,0,0.0
27,152,0,0.0
28,154,0,0.0
29,156,0,0.0
30,160,0,0.0
31,162,0,0.0
32,163,0,0.0
33,165,0,0.0
34,171,0,0.0
35,173,0,0.0
36,175,0,0.0
37,181,0,0.0
38,184,0,0.0
39,185,0,0.0
40,187,0,0.0
41,190,0,0.0
42,193,0,0.0
43,199,0,0.0
44,200,0,0.0
45,202,0,0.0
46,204,0,0.0
47,205,0,0.0
48,206,0,0.0
49,213,0,0.0
50,216,0,0.0
51,221,0,0.0
52,223,0,0.0
53,225,0,0.0
54,226,0,0.0
55,227,0,0.0
56,229,0,0.0
57,240,0,0.0
58,243,0,0.0
59,244,0,0.0
60,249,0,0.0
61,251,0,0.0
62,255,0,0.0
63,259,0,0.0
64,262,0,0.0
65,263,0,0.0
66,274,0,0.0
67,280,0,0.0
68,284,0,0.0
69,290,1,0.0
70,292,0,0.0
71,304,0,0.0
72,307,0,0.0
73,309,1,0.0
74,316,0,0.0
75,319,0,0.0
76,323,0,0.0
77,326,0,0.0
78,329,0,0.0
79,337,0,0.0
80,346,0,0.0
81,347,0,0.0
82,355,0,0.0
83,360,0,0.0
84,367,0,0.0
85,369,0,0.0
86,371,0,0.0
87,372,0,0.0
88,377,0,0.0
89,380,0,0.0
90,382,0,0.0
91,384,0,0.0
92,385,0,0.0
93,389,0,0.0
94,395,0,0.0
95,400,0,0.0
96,402,0,0.0
97,404,0,0.0
98,405,0,0.0
99,410,0,0.0
100,411,0,0.0
101,415,0,0.0
102,419,0,0.0
103,420,0,0.0
104,423,0,0.0
105,426,0,0.0
106,433,0,0.0
107,444,0,0.0
108,449,0,0.0
109,451,0,0.0
110,465,0,0.0
111,466,0,0.0
112,471,0,0.0
113,482,0,0.0
114,492,1,0.0
115,497,0,0.0
116,507,0,0.0
117,509,0,0.0
118,514,0,0.0
119,516,0,0.0
120,519,0,0.0
121,520,0,0.0
122,524,0,0.0
123,532,0,0.0
124,540,0,0.0
125,541,0,0.0
126,543,0,0.0
127,549,0,0.0
128,552,0,0.0
129,553,0,0.0
130,561,0,0.0
131,564,0,0.0
132,566,0,0.0
133,569,0,0.0
134,572,0,0.0
135,574,0,0.0
136,575,0,0.0
137,577,0,0.0
138,580,0,0.0
139,587,0,0.0
140,594,0,0.0
141,599,0,0.0
142,622,0,0.0
143,623,0,0.0
144,625,0,0.0
145,630,0,0.0
146,645,0,0.0
147,647,0,0.0
148,651,0,0.0
149,653,0,0.0
150,657,0,0.0
151,663,0,0.0
152,666,0,0.0
153,667,0,0.0
154,671,0,0.0
155,673,0,0.0
156,679,0,0.0
157,683,0,0.0
158,685,0,0.0
159,691,0,0.0
160,696,0,0.0
161,700,0,0.0
162,703,0,0.0
163,704,0,0.0
164,705,0,0.0
165,710,0,0.0
